procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1663528 48280736 339916 48592912    6    5     6    11    0    0  8  3 89  0
 0  0 1663528 48283372 339916 48592928    0    0     0   388 3714 8065  1  0 98  0
 0  0 1663528 48283264 339916 48592940    0    0     0    74 3762 8274  1  1 98  0
 1  0 1663528 48280988 339916 48593016    0    0     0     0 4572 10433  2  1 97  0
 2  0 1663528 48283816 339916 48593048    0    0     0   112 3986 8680  2  1 98  0
 0  0 1663528 48283452 339916 48593068    0    0     0    72 4180 9473  1  1 98  0
 0  0 1663528 48285688 339916 48593128    0    0     0    24 4165 9328  1  1 98  0
 0  0 1663528 48285716 339916 48593172    0    0     0    74 4247 8948  2  0 98  0
 0  0 1663528 48283576 339916 48593260    0    0     0     0 4455 9866  1  1 98  0
 2  0 1663528 48253476 339916 48593332    0    0     0     0 4829 10383  4  1 95  0
 4  0 1663528 48284396 339916 48593436    0    0     0    40 4037 8937  1  1 99  0
 1  0 1663528 48284204 339916 48593488    0    0     0   144 3987 8838  1  1 98  0
 0  0 1663528 48284696 339916 48593536    0    0     0    70 4324 8532  4  0 96  0
 1  0 1663528 48283476 339916 48593644    0    0     0     0 4189 9574  1  1 98  0
 0  0 1663528 48282248 339916 48593720    0    0     0    32 4452 10422  1  1 98  0
 3  0 1663528 48282164 339916 48593804    0    0     0    56 4310 9337  1  1 98  0
 0  0 1663528 48282336 339916 48593864    0    0     0   176 17978 9984  2  1 97  0
 0  0 1663528 48282684 339916 48593892    0    0     0     0 3887 8095  1  0 99  0
 2  0 1663528 48250912 339916 48593896    0    0     0    58 3785 8629  1  1 98  0
 0  0 1663528 48280548 339916 48593932    0    0     0   394 4104 9260  1  1 98  0
 0  0 1663528 48281636 339916 48593988    0    0     0    98 4167 9202  2  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 1663528 48279388 339916 48594056    0    0     0   150 4784 12644  2  2 97  0
 0  0 1663528 48279528 339916 48594064    0    0     0     0 3932 8502  1  0 98  0
 1  0 1663528 48247940 339916 48594112    0    0     0    66 3966 8785  1  1 98  0
 0  0 1663528 48280512 339916 48594188    0    0     0     0 4265 9479  1  1 98  0
 0  0 1663528 48281900 339916 48594244    0    0     0    68 4183 9452  1  1 98  0
 0  0 1663528 48281448 339916 48594308    0    0     0    28 3978 8988  1  1 98  0
 0  0 1663528 48282860 339916 48594384    0    0     0     0 3924 8552  1  1 98  0
 2  0 1663528 48272320 339916 48594416    0    0     0    36 3893 8718  1  0 99  0
 1  0 1663528 48280484 339916 48594508    0    0     0   140 4279 9943  1  1 98  0
 0  0 1663528 48281604 339916 48594540    0    0     0     6 5487 10308  2  1 97  0
 0  0 1663528 48280676 339916 48594572    0    0     0    76 3893 8621  1  1 98  0
 1  0 1663528 48281528 339916 48594668    0    0     0     0 4474 9603  2  1 98  0
 0  0 1663528 48282404 339916 48594700    0    0     0    26 3771 8173  1  0 99  0
 0  0 1663528 48281152 339916 48594768    0    0     0   184 3947 8710  1  1 98  0
 1  0 1663528 48280744 339916 48594808    0    0     0     6 4328 10233  1  1 98  0
 1  0 1663528 48282244 339916 48595584    0    0     0   478 10435 22413  2  1 97  0
 0  0 1663528 48280488 339916 48595568    0    0     0     0 4106 9473  1  1 98  0
