procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1383104 156920 2924284    0    0     0    60    0    0  1  0 98  0
 0  0  25456 1383088 156920 2924280    0    0     0    20  360  771  0  0 100  0
 0  0  25456 1383056 156920 2924280    0    0     0     0  500  938  1  0 98  0
 0  0  25456 1382932 156920 2924280    0    0     0    28  355  635  0  0 100  0
 0  0  25456 1382684 156920 2924280    0    0     0     4  323  715  0  0 99  0
 0  0  25456 1382592 156920 2924280    0    0     0     0  353  703  1  0 99  0
 0  0  25456 1382872 156920 2924284    0    0     0    10  400  795  0  0 99  0
 0  0  25456 1382840 156920 2924288    0    0     0     0  414  839  1  0 99  0
 0  0  25456 1382716 156920 2924288    0    0     0     0  377  662  1  0 99  0
 1  0  25456 1382592 156920 2924288    0    0     0     8  347  710  1  0 99  0
 0  0  25456 1382592 156920 2924288    0    0     0     0  493  902  1  0 99  0
 0  0  25456 1382396 156920 2924292    0    0     0    10  374  787  0  0 99  0
 0  0  25456 1382396 156920 2924292    0    0     0    12  454  791  3  4 93  0
 0  0  25456 1382204 156920 2924296    0    0     0     0  465  749  1  0 99  0
 0  0  25456 1382452 156920 2924296    0    0     0     8  361  753  1  0 99  0
 0  0  25456 1382328 156920 2924296    0    0     0    14  360  718  0  0 99  0
 0  0  25456 1382296 156920 2924296    0    0     0    16  322  683  0  0 99  0
 0  0  25456 1382172 156920 2924296    0    0     0     0  340  710  1  0 99  0
 0  0  25456 1380676 156920 2924304    0    0     0    16  412  776  0  0 99  0
 0  0  25456 1380388 156920 2924308    0    0     0    22  326  710  0  0 100  0
 0  0  25456 1380732 156920 2924308    0    0     0     0  344  717  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  25456 1380636 156920 2924308    0    0     0    22  339  736  0  0 100  0
 0  0  25456 1381008 156920 2924304    0    0     0     0  405  834  1  0 99  0
 0  0  25456 1381000 156920 2924308    0    0     0     0  410  712  1  0 99  0
 0  0  25456 1381032 156920 2924308    0    0     0    20  355  741  1  0 99  0
 0  0  25456 1381000 156920 2924308    0    0     0     0  371  771  0  0 99  0
 0  0  25456 1381612 156920 2924312    0    0     0     0  470  902  1  0 99  0
 1  0  25456 1381684 156920 2924312    0    0     0     8  360  632  2  1 96  0
 0  0  25456 1381592 156920 2924316    0    0     0     0  473  931  2  2 97  0
 0  0  25456 1381592 156920 2924316    0    0     0    18  347  745  1  0 99  0
 0  0  25456 1381312 156920 2924316    0    0     0    16  369  737  1  0 99  0
 0  0  25456 1381312 156920 2924316    0    0     0     6  366  714  1  0 99  0
 0  0  25456 1381188 156920 2924320    0    0     0     0  489  874  1  0 99  0
 0  0  25456 1381644 156920 2924320    0    0     0    10  373  747  0  0 99  0
 0  0  25456 1381644 156920 2924324    0    0     0    20  367  760  1  0 99  0
 0  0  25456 1381676 156920 2924324    0    0     0     0  339  683  0  0 100  0
 0  0  25456 1381552 156920 2924324    0    0     0    12  317  681  0  0 99  0
 0  0  25456 1381396 156920 2924324    0    0     0     0  303  601  0  0 100  0
 0  0  25456 1381396 156920 2924324    0    0     0     0  371  748  0  0 100  0
 1  0  25456 1381768 156920 2924324    0    0     0    34  348  723  1  0 99  0
 0  0  25456 1381768 156920 2924324    0    0     0     0  376  738  1  0 99  0
 0  0  25456 1381612 156920 2924324    0    0     0     0  418  826  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1381520 156920 2924332    0    0     0     8  369  686  1  0 99  0
 0  0  25456 1381348 156920 2924336    0    0     0     0  588  957  4  4 93  0
 0  0  25456 1381100 156920 2924336    0    0     0     0  330  708  1  0 99  0
 0  0  25456 1381444 156920 2924336    0    0     0    14  349  707  1  0 99  0
 0  0  25456 1381348 156920 2924340    0    0     0    10  324  706  0  0 100  0
 0  0  25456 1381256 156920 2924340    0    0     0     0  337  656  1  0 100  0
 0  0  25456 1379596 156920 2924344    0    0     0    14  417  832  1  0 99  0
 0  0  25456 1379472 156920 2924348    0    0     0     8  328  692  1  0 99  0
 0  0  25456 1379288 156920 2924352    0    0     0     0  346  694  0  0 100  0
 0  0  25456 1379104 156920 2924352    0    0     0    42  340  743  0  0 100  0
 0  0  25456 1380040 156920 2924352    0    0     0     0  315  644  0  0 99  0
 0  0  25456 1379992 156920 2924348    0    0     0     0  353  731  0  0 99  0
 0  0  25456 1379992 156920 2924348    0    0     0    26  357  733  1  0 99  0
 0  0  25456 1379868 156920 2924348    0    0     0     0  357  702  1  0 99  0
 0  0  25456 1379868 156920 2924348    0    0     0    30  325  697  0  0 99  0
 0  0  25456 1379868 156920 2924348    0    0     0     6  334  658  0  0 100  0
 0  0  25456 1380396 156920 2924352    0    0     0     0  566  900  3  4 93  0
 0  0  25456 1380396 156920 2924352    0    0     0    10  354  748  1  0 99  0
 1  0  25456 1380364 156920 2924352    0    0     0    14  339  714  1  0 99  0
 0  0  25456 1380364 156920 2924352    0    0     0     0  329  706  0  0 99  0
 0  0  25456 1380364 156920 2924352    0    0     0     0  310  604  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1380232 156920 2924352    0    0     0     8  459  878  1  0 99  0
 0  0  25456 1380108 156920 2924352    0    0     0     6  343  742  1  0 99  0
 0  0  25456 1380484 156920 2924352    0    0     0     0  348  751  0  0 99  0
 0  0  25456 1380636 156920 2924352    0    0     0    28  329  707  1  0 99  0
 0  0  25456 1380480 156920 2924352    0    0     0     0  329  639  0  0 100  0
 0  0  25456 1380356 156920 2924356    0    0     0     0  362  767  0  0 100  0
 0  0  25456 1380108 156920 2924356    0    0     0    20  400  759  1  1 99  0
 0  0  25456 1379984 156920 2924356    0    0     0     0  356  769  0  0 100  0
 0  0  25456 1379828 156920 2924356    0    0     0    10  365  683  0  0 99  0
 1  0  25456 1380044 156920 2924360    0    0     0     0  414  838  1  0 99  0
 0  0  25456 1379716 156920 2924364    0    0     0     0  630  945  4  3 93  0
 0  0  25456 1379624 156920 2924364    0    0     0    24  375  794  0  0 99  0
 0  0  25456 1379500 156920 2924364    0    0     0     0  356  751  1  0 99  0
 0  0  25456 1379376 156920 2924364    0    0     0     0  300  587  0  0 100  0
 0  0  25456 1379220 156920 2924364    0    0     0     8  335  727  0  0 99  0
 0  0  25456 1377972 156920 2924368    0    0     0     0  429  888  1  1 99  0
 1  0  25456 1377748 156920 2924368    0    0     0     6  339  731  0  0 100  0
 0  0  25456 1377500 156920 2924372    0    0     0    28  354  744  0  0 99  0
 0  0  25456 1377500 156920 2924372    0    0     0     0  304  602  0  0 100  0
 0  0  25456 1377252 156920 2924372    0    0     0     0  352  758  0  0 100  0
 0  0  25456 1378360 156920 2924368    0    0     0    20  388  797  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1379220 156920 2924368    0    0     0    14  354  750  0  0 99  0
 0  0  25456 1379196 156920 2924372    0    0     0     0  464  862  1  0 99  0
 0  0  25456 1379040 156920 2924372    0    0     0    20  326  630  0  0 100  0
 0  0  25456 1378916 156920 2924372    0    0     0     0  352  732  1  0 99  0
 1  0  25456 1378792 156920 2924376    0    0     0     0  510  895  2  2 95  0
 0  0  25456 1378668 156920 2924376    0    0     0    28  358  729  1  1 98  0
 0  0  25456 1378840 156920 2924376    0    0     0     0  338  726  1  0 99  0
 0  0  25456 1378916 156920 2924376    0    0     0    28  345  645  1  0 99  0
 0  0  25456 1378760 156920 2924380    0    0     0     8  330  722  1  0 99  0
 0  0  25456 1378636 156920 2924384    0    0     0     0  395  778  0  0 99  0
 0  0  25456 1378544 156920 2924384    0    0     0     4  336  731  1  0 99  0
 0  0  25456 1378544 156920 2924384    0    0     0     6  352  738  0  0 100  0
 0  0  25456 1378420 156920 2924384    0    0     0     0  308  604  0  0 100  0
 0  0  25456 1378636 156920 2924384    0    0     0     0  325  701  0  0 99  0
 0  0  25456 1378636 156920 2924384    0    0     0     6  365  746  1  0 99  0
 0  0  25456 1378636 156920 2924384    0    0     0     6  352  741  0  0 99  0
 0  0  25456 1378264 156920 2924384    0    0     0     0  350  741  1  0 99  0
 0  0  25456 1378232 156920 2924384    0    0     0    24  333  647  0  0 100  0
 0  0  25456 1378108 156920 2924384    0    0     0     0  326  705  1  0 99  0
 0  0  25456 1377800 156920 2924388    0    0     0     0  577 1053  1  0 98  0
 0  0  25456 1377828 156920 2924388    0    0     0    28  448  805  4  4 93  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1377456 156920 2924388    0    0     0     0  396  820  0  0 100  0
 0  0  25456 1377456 156920 2924388    0    0     0     8  305  610  0  0 100  0
 0  0  25456 1377424 156920 2924388    0    0     0     0  377  786  1  0 99  0
 0  0  25456 1377376 156920 2924396    0    0     0     0  589 1035  1  0 99  0
 0  0  25456 1374496 156920 2924400    0    0     0    46  391  831  1  1 98  0
 1  0  25456 1374568 156920 2924404    0    0     0     0  365  673  1  0 99  0
 0  0  25456 1374476 156920 2924404    0    0     0     0  335  724  1  0 99  0
 0  0  25456 1374476 156920 2924404    0    0     0     8  368  772  0  0 99  0
 0  0  25456 1376252 156920 2924404    0    0     0     2  542  941  7  1 93  0
 0  0  25456 1376384 156920 2924404    0    0     0     0  345  704  1  0 99  0
 0  0  25456 1376416 156920 2924404    0    0     0    30  340  660  0  0 100  0
 0  0  25456 1376292 156920 2924408    0    0     0     0  419  875  0  0 99  0
 0  0  25456 1376664 156920 2924408    0    0     0     0  334  695  1  0 99  0
 0  0  25456 1376540 156920 2924412    0    0     0    20  450  865  0  0 99  0
 0  0  25456 1376508 156920 2924412    0    0     0    34  488  768  4  3 93  0
 0  0  25456 1376416 156920 2924412    0    0     0     0  319  615  0  0 100  0
 0  0  25456 1376416 156920 2924412    0    0     0    20  335  691  0  0 100  0
 0  0  25456 1376284 156920 2924412    0    0     0     0  362  742  1  0 99  0
 0  0  25456 1376632 156920 2924416    0    0     0     0  369  732  1  0 99  0
 0  0  25456 1376632 156920 2924416    0    0     0    26  350  738  1  0 99  0
 0  0  25456 1376508 156920 2924416    0    0     0     0  317  608  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1376540 156920 2924416    0    0     0    50  323  663  0  0 100  0
 0  0  25456 1376292 156920 2924416    0    0     0     6  352  750  0  0 99  0
 0  0  25456 1376136 156920 2924416    0    0     0     0  372  735  1  0 99  0
 0  0  25456 1376420 156920 2924416    0    0     0     2  365  735  1  0 99  0
 0  0  25456 1376324 156920 2924416    0    0     0     8  330  645  0  0 100  0
 0  0  25456 1376200 156920 2924416    0    0     0     0  348  729  1  0 99  0
 0  0  25456 1375920 156920 2924416    0    0     0     0  324  707  1  0 99  0
