procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 81252776 324880 30646520    0    0     0    32    0    0  1  0 99  0
 0  0      0 81252576 324880 30646220    0    0     0     0 6394 13606  1  0 99  0
 1  0      0 81252432 324880 30646252    0    0     0     2 6052 12582  0  0 99  0
 0  0      0 81253520 324880 30646220    0    0     0    58 6195 12850  0  0 99  0
 1  0      0 81254000 324880 30646224    0    0     0     0 6077 12617  0  0 99  0
 0  0      0 81253808 324880 30646224    0    0     0  2078 6071 12555  0  0 99  0
 2  0      0 81253872 324880 30646224    0    0     0     0 6203 12847  0  0 99  0
 1  0      0 81253144 324880 30646244    0    0     0   754 6821 22316  2  1 97  0
 0  0      0 81251920 324880 30646244    0    0     0   174 6400 13545  1  0 99  0
 0  0      0 81252368 324880 30645608    0    0     0   126 6095 12667  0  0 99  0
 0  0      0 81252624 324880 30645796    0    0     0  3798 6434 13468  1  0 99  0
 1  0      0 81251792 324880 30645788    0    0     0   134 6336 13517  1  0 99  0
 1  0      0 81251440 324880 30645788    0    0     0   120 6127 12662  0  0 100  0
 2  0      0 81251768 324880 30645792    0    0     0   120 6072 12592  0  0 99  0
 0  0      0 81252848 324880 30645792    0    0     0   102 7376 12956  1  0 99  0
 1  0      0 81252192 324880 30645792    0    0     0  3670 6199 12711  0  0 99  0
 0  0      0 81250672 324880 30645796    0    0     0    80 6338 13410  1  0 99  0
 0  0      0 81250560 324880 30645820    0    0     0   430 6338 16064  1  0 98  0
 1  0      0 81250912 324880 30645820    0    0     0     4 6143 12727  0  0 99  0
 0  0      0 81251744 324880 30645828    0    0     0     0 6475 12677  0  0 99  0
 1  0      0 81250784 324880 30645828    0    0     0  3604 6134 12682  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 81250928 324880 30645828    0    0     0     0 6009 12457  0  0 100  0
 1  0      0 81251000 324880 30645828    0    0     0     2 6163 13013  0  0 99  0
 0  0      0 81249512 324880 30645864    0    0     0    54 6289 13290  1  1 99  0
 2  0      0 81249584 324880 30645832    0    0     0    74 6171 13649  1  0 99  0
 0  0      0 81249456 324880 30645836    0    0     0  3606 6207 12805  0  0 99  0
 0  0      0 81250272 324880 30645840    0    0     0     0 6094 12589  0  0 99  0
 1  0      0 81249840 324880 30645844    0    0     0   594 9500 13420  1  0 98  0
 0  0      0 81251792 324880 30645812    0    0     0   512 7219 18937  2  1 98  0
 1  0      0 81251840 324880 30645812    0    0     0     0 6004 12481  0  0 99  0
 0  0      0 81251984 324880 30645812    0    0     0  3582 6196 12696  0  0 99  0
 0  0      0 81249936 324880 30645844    0    0     0     0 6288 13236  1  0 99  0
 1  0      0 81250832 324880 30645812    0    0     0     6 6091 12686  0  0 99  0
 0  0      0 81250688 324880 30645844    0    0     0    36 6188 12809  0  0 99  0
 1  0      0 81251024 324880 30645848    0    0     0     0 6088 12639  0  0 99  0
 0  0      0 81251296 324880 30645852    0    0     0  3560 6214 12743  0  0 99  0
 1  0      0 81251904 324880 30645852    0    0     0     0 6078 12498  0  0 100  0
 2  0      0 81251496 324880 30645856    0    0     0   994 6818 22375  2  1 97  0
 0  0      0 81251232 324880 30645868    0    0     0   174 6368 13654  1  0 99  0
 0  0      0 81251392 324880 30645836    0    0     0   170 6029 12602  0  0 99  0
 0  0      0 81251248 324880 30645872    0    0     0  3770 6419 13496  1  0 99  0
 1  0      0 81251440 324880 30645864    0    0     0   186 6117 12973  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 81252064 324880 30645864    0    0     0   106 6075 12707  0  0 99  0
 1  0      0 81252112 324880 30645864    0    0     0   106 6368 12988  1  0 99  0
 1  0      0 81252384 324880 30645868    0    0     0   102 6077 12614  0  0 99  0
 1  0      0 81252272 324880 30645868    0    0     0  3668 6229 12704  0  0 99  0
 0  0      0 81251072 324880 30645872    0    0     0    94 6399 13442  1  0 99  0
 0  0      0 81251240 324880 30645872    0    0     0   520 6469 16131  1  0 98  0
 1  0      0 81250312 324880 30645872    0    0     0     0 6157 12959  0  0 99  0
 0  0      0 81250928 324880 30645880    0    0     0     0 6086 12807  1  0 99  0
 1  0      0 81251120 324880 30645884    0    0     0  3588 6119 12675  0  0 99  0
 0  0      0 81251248 324880 30645888    0    0     0     0 5964 12427  0  0 99  0
 1  0      0 81251656 324880 30645888    0    0     0     6 6086 12741  0  0 99  0
 0  0      0 81248832 324880 30645892    0    0     0    42 6483 13629  1  0 99  0
 0  0      0 81249056 324880 30645892    0    0     0   154 6181 13869  1  0 99  0
 0  0      0 81250008 324880 30645892    0    0     0  3586 6182 12681  0  0 99  0
 0  0      0 81250272 324880 30645892    0    0     0     0 6091 12544  0  0 99  0
 1  0      0 81251392 324880 30645888    0    0     0     6 6166 12586  0  0 99  0
 0  0      0 81250576 324880 30646464    0    0     0   560 15924 19576  2  1 97  0
 1  0      0 81250144 324880 30646352    0    0     0   100 6094 12818  0  0 99  0
 0  0      0 81248448 324880 30646356    0    0     0  3640 6204 12662  0  0 99  0
 0  0      0 81248240 324880 30646324    0    0     0     0 6194 13130  1  0 99  0
 0  0      0 81248024 324880 30646324    0    0     0     6 6030 12605  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 81248840 324880 30646328    0    0     0    34 6245 12685  0  0 99  0
 1  0      0 81247080 324880 30646360    0    0     0     0 6175 12964  0  0 99  0
 0  0      0 81247232 324880 30646400    0    0     0  3600 6242 12882  1  0 99  0
 4  0      0 81248032 324880 30646400    0    0     0    18 6108 12914  0  0 99  0
 0  0      0 81247616 324880 30646416    0    0     0  1410 6949 21928  2  1 97  0
 1  0      0 81247160 324880 30646416    0    0     0   178 6265 14001  1  0 99  0
 0  0      0 81247200 324880 30646416    0    0     0   164 6053 12645  1  0 99  0
 0  0      0 81247512 324880 30646424    0    0     0  3790 6530 13847  1  0 99  0
 0  0      0 81246864 324880 30646416    0    0     0   190 6115 13023  0  0 99  0
 4  0      0 81247936 324880 30646416    0    0     0   116 6065 12661  0  0 99  0
 1  0      0 81248448 324880 30646416    0    0     0   136 6087 12650  0  0 99  0
 0  0      0 81248448 324880 30646416    0    0     0   114 6073 12610  0  0 99  0
 2  0      0 81247424 324880 30646416    0    0     0  3694 6249 13009  0  0 99  0
 0  0      0 81246096 324880 30646388    0    0     0  7886 6610 14460  1  0 99  0
 0  0      0 81246776 324880 30646388    0    0     0   226 6327 15866  1  0 99  0
 1  0      0 81246784 324880 30646420    0    0     0     0 6143 12656  0  0 99  0
 0  0      0 81246192 324880 30646428    0    0     0     0 6141 12654  0  0 99  0
 1  0      0 81245120 324880 30646428    0    0     0    32 6482 12878  0  0 99  0
 0  0      0 81246048 324880 30646428    0    0     0  5742 6232 12675  0  0 99  0
 1  0      0 81245552 324880 30646428    0    0     0     6 6089 12736  0  0 99  0
 0  0      0 81244592 324880 30646432    0    0     0     0 6346 13379  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 81245088 324880 30646432    0    0     0    98 6371 13803  1  0 99  0
 1  0      0 81244400 324880 30646436    0    0     0     0 6121 12843  0  0 99  0
 0  0      0 81244944 324880 30646440    0    0     0     0 6257 12711  0  0 99  0
 1  0      0 81245864 324880 30646436    0    0     0  2110 6306 12686  0  0 99  0
 0  0      0 81247312 324880 30646408    0    0     0   288 7091 18738  1  1 98  0
 0  0      0 81247456 324880 30646444    0    0     0     0 6113 12720  0  0 99  0
 0  0      0 81247600 324880 30646448    0    0     0     0 6098 12676  0  0 99  0
 0  0      0 81246568 324880 30646416    0    0     0    38 6312 13437  1  0 99  0
 1  0      0 81247240 324880 30646456    0    0     0  3596 6201 12685  0  0 99  0
 0  0      0 81248304 324880 30646456    0    0     0     0 6122 12607  0  0 100  0
 1  0      0 81248304 324880 30646464    0    0     0     0 6069 12567  0  0 99  0
 0  0      0 81248544 324880 30646464    0    0     0    28 6105 12701  1  0 99  0
 3  0      0 81246832 324880 30646472    0    0     0    22 6214 13928  1  0 99  0
 0  0      0 81245792 324880 30646488    0    0     0  4400 6708 21309  2  1 98  0
 0  0      0 81245008 324880 30646488    0    0     0 10730 6484 14263  1  0 99  0
