procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 194596 23584344 347908 68681320    0    0     0    85    0    0  2  1 98  0
 0  0 194596 23585832 347908 68681272    0    0     0     0 5313 12809  1  1 98  0
 0  0 194596 23584860 347908 68681320    0    0     0     8 5262 13424  1  1 98  0
 2  0 194596 23571216 347908 68681344    0    0     0   486 5160 12222  1  1 98  0
 1  0 194596 23583352 347912 68681344    0    0     0  5494 6648 12132  1  1 98  0
 1  0 194596 23584896 347912 68681392    0    0     0  1046 5497 13330  1  1 98  0
 1  0 194596 23583456 347912 68681416    0    0     0     0 5065 12112  1  1 98  0
 0  0 194596 23583412 347912 68681448    0    0     0 10232 7974 11374  1  0 99  0
 0  0 194596 23580108 347912 68681472    0    0     0   430 5918 11587  1  0 99  0
 1  0 194596 23581728 347912 68681480    0    0     0    76 5275 13035  1  1 98  0
 0  0 194596 23582192 347912 68681496    0    0     0   410 5094 12134  1  1 99  0
 0  0 194596 23582028 347912 68681512    0    0     0     0 5105 11794  1  0 99  0
 3  0 194596 23582700 347912 68681648    0    0     0     8 5391 11818  1  0 99  0
 1  0 194596 23583032 347912 68681664    0    0     0   674 5142 12462  1  1 98  0
 0  0 194596 23580836 347912 68681696    0    0     0 15156 10011 11795  1  1 98  0
 0  0 194596 23582604 347912 68681784    0    0     0   848 5452 12764  1  1 98  0
 0  0 194596 23583452 347912 68681808    0    0     0     0 5212 12440  1  1 98  0
 1  0 194596 23583832 347912 68681824    0    0     0    86 5166 11511  1  0 99  0
 0  0 194596 23584956 347912 68681840    0    0     0     0 5012 11983  1  0 99  0
 0  0 194596 23582652 347912 68681904    0    0     0    10 5194 12072  1  1 98  0
 3  0 194596 23583764 347912 68681944    0    0     0   418 6979 13566  1  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0 194596 23582708 347912 68681984    0    0     0   882 4866 11404  1  0 99  0
 1  0 194596 23582584 347912 68682000    0    0     0  5762 6597 12724  1  1 98  0
 1  0 194596 23583628 347912 68682032    0    0     0   478 4895 11204  1  0 99  0
 2  0 194596 23571416 347912 68682032    0    0     0 10134 7596 12035  1  1 98  0
 0  0 194596 23581028 347912 68682064    0    0     0   180 5528 13230  1  1 98  0
 0  0 194596 23580840 347912 68682088    0    0     0 19412 5444 12474  2  1 97  0
 0  0 194596 23580108 347912 68682096    0    0     0     8 5285 12151  1  1 98  0
 1  0 194596 23580944 347912 68682128    0    0     0     0 5254 12584  1  1 98  0
 0  0 194596 23582628 347912 68682144    0    0     0   918 5010 11210  1  1 99  0
 1  0 194596 23582364 347912 68682176    0    0     0   432 5451 13028  1  1 98  0
