procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 595124 7598852 1785824 43641700    0    0     2     3    0    0  1  0 99  0
 0  0 595124 7598696 1785824 43641680    0    0    10    54 7876 16382  1  0 99  0
 2  0 595124 7597916 1785824 43641700    0    0     8     2 7719 16314  0  0 99  0
 0  0 595124 7598100 1785824 43641736    0    0     8     4 7798 16272  1  0 99  0
 0  0 595124 7597488 1785824 43641756    0    0    10    66 7817 16466  1  0 99  0
 1  0 595124 7597240 1785824 43641768    0    0     4     6 7745 16177  1  0 99  0
 0  0 595124 7596968 1785824 43641784    0    0     4    68 7760 16247  1  0 99  0
 0  0 595124 7596608 1785824 43641784    0    0     0     2 7788 16323  1  1 98  0
 0  0 595124 7596944 1785824 43641792    0    0     4     4 7845 16504  0  0 99  0
 1  0 595124 7596268 1785824 43641796    0    0    22    48 7800 16295  1  0 99  0
 0  0 595124 7596400 1785824 43641848    0    0     4     6 7708 16195  1  0 99  0
 4  0 595124 7593796 1785824 43643668    0    0     4     0 10660 17559  2  1 97  0
 2  0 595124 7592552 1785824 43645112    0    0     4    88 8631 16556  1  1 98  0
 1  0 595124 7592864 1785824 43645136    0    0     8     4 7781 16247  1  0 99  0
 0  0 595124 7593000 1785824 43645136    0    0     0    46 7726 16171  0  0 99  0
 0  0 595124 7593340 1785824 43645144    0    0     4     6 7797 16268  1  0 99  0
 1  0 595124 7593628 1785824 43645164    0    0     4     0 7915 16409  0  0 99  0
 0  0 595124 7593380 1785824 43645180    0    0     4    66 7774 16349  1  0 99  0
 0  0 595124 7593256 1785824 43645192    0    0     4     4 7799 16327  1  0 99  0
 0  0 595124 7593768 1785824 43645192    0    0     0     0 7826 16355  0  0 99  0
 1  0 595124 7594032 1785824 43645204    0    0     4    52 7738 16186  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 595124 7594232 1785824 43645208    0    0     0     0 7716 16132  0  0 99  0
 1  0 595124 7594612 1785824 43645208    0    0     4    60 7870 16426  1  0 99  0
 0  0 595124 7594604 1785824 43645216    0    0     6     4 7961 16560  1  0 99  0
 0  0 595124 7594612 1785824 43645228    0    0     4     0 7907 16354  1  0 99  0
 0  0 595124 7594760 1785824 43645260    0    0    16    54 7715 16319  0  0 99  0
 0  0 595124 7591140 1785824 43645284    0    0     0  3532 8002 16958  1  0 99  0
 3  0 595124 7591528 1785824 43645116    0    0     0     2 7595 15932  1  0 99  0
 0  0 595124 7591988 1785824 43645128    0    0     4     6 7712 16256  0  0 99  0
 0  0 595124 7592084 1785824 43645136    0    0     4   180 7724 16164  1  0 99  0
 0  0 595124 7592340 1785824 43645152    0    0     8     6 7729 16204  0  0 99  0
 1  0 595124 7592340 1785824 43645160    0    0     4     0 7883 16476  1  0 99  0
 0  0 595124 7592612 1785824 43645188    0    0     8    66 7635 16048  1  0 99  0
 0  0 595124 7592948 1785824 43645200    0    0     4     4 7692 16257  0  0 99  0
 1  0 595124 7592120 1785824 43645208    0    0     0     0 7876 16596  1  0 99  0
 0  0 595124 7591768 1785824 43645216    0    0     0    62 7650 16162  1  0 99  0
