procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 80970416 324980 30707260    0    0     0    32    0    0  1  0 99  0
 0  0      0 80969960 324980 30707248    0    0     0   150 6215 13607  1  0 99  0
 0  0      0 80970624 324980 30707248    0    0     0     0 6020 12472  0  0 100  0
 1  0      0 80969784 324980 30707252    0    0     0  3562 6527 12982  1  0 99  0
 0  0      0 80968976 324980 30707252    0    0     0     0 6463 12426  0  0 99  0
 2  0      0 80969808 324980 30707220    0    0     0   130 6413 14420  1  0 98  0
 0  0      0 80969792 324980 30707252    0    0     0   584 6720 12851  1  0 99  0
 0  0      0 80970064 324980 30707256    0    0     0     0 6168 12866  0  0 99  0
 1  0      0 80970408 324980 30707256    0    0     0  3630 6366 12782  0  0 99  0
 0  0      0 80971472 324980 30707224    0    0     0   160 13652 17791  1  1 98  0
 2  0      0 80970536 324980 30707256    0    0     0    90 6055 12608  0  0 99  0
 0  0      0 80970928 324980 30707256    0    0     0     6 6059 12499  0  0 99  0
 0  0      0 80970656 324980 30707256    0    0     0    30 6409 13585  1  1 99  0
 4  0      0 80970672 324980 30707224    0    0     0  3590 6243 12765  1  0 99  0
 0  0      0 80970816 324980 30707224    0    0     0     0 6302 12853  0  0 99  0
 3  0      0 80971240 324980 30707264    0    0     0     0 6092 12681  0  0 99  0
 1  0      0 80971560 324980 30707268    0    0     0    34 6029 12470  0  0 100  0
23  0      0 80971424 324984 30707264    0    0     0    66 6597 16654  1  1 98  0
 1  0      0 80969840 324984 30707284    0    0     0  4064 6660 18762  1  1 98  0
 0  0      0 80969672 324984 30707284    0    0     0    96 6092 12568  0  0 99  0
 1  0      0 80968568 324984 30707244    0    0     0    84 6175 13271  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 80967280 324984 30707276    0    0     0   156 10798 13564  1  0 99  0
 2  0      0 80966544 324984 30707280    0    0     0    66 6235 12956  0  0 99  0
 0  0      0 80967104 324984 30707280    0    0     0  3652 6139 12852  0  0 99  0
 0  0      0 80968024 324984 30707280    0    0     0    94 6071 12603  0  0 99  0
 1  0      0 80968560 324984 30707280    0    0     0    64 6049 12685  0  0 99  0
 1  0      0 80969232 324984 30707280    0    0     0   122 6176 13018  0  0 99  0
 0  0      0 80969088 324984 30707248    0    0     0    88 6273 13380  1  0 99  0
 1  0      0 80967520 324984 30707284    0    0     0  3764 6525 16303  1  1 98  0
 0  0      0 80967152 324984 30707284    0    0     0     0 6101 12597  0  0 99  0
 1  0      0 80967904 324984 30707296    0    0     0     0 6098 12658  0  0 99  0
 0  0      0 80968272 324984 30707296    0    0     0   124 6184 13322  1  0 99  0
 0  0      0 80968512 324984 30707296    0    0     0     0 6063 12525  0  0 100  0
 0  0      0 80966504 324984 30707296    0    0     0  3574 6251 13101  1  0 99  0
 0  0      0 80966424 324984 30707300    0    0     0     0 6069 12554  0  0 99  0
 1  0      0 80966704 324984 30707304    0    0     0    90 6434 14767  1  1 98  0
 1  0      0 80966480 324984 30707308    0    0     0     6 8109 12779  0  0 99  0
 0  0      0 80967088 324984 30707308    0    0     0    54 6245 12794  0  0 99  0
 0  0      0 80967280 324984 30707304    0    0     0  3574 6349 12946  1  0 99  0
 0  0      0 80967616 324984 30707304    0    0     0   222 7299 19199  2  1 98  0
 1  0      0 80968776 324984 30707272    0    0     0     0 6012 12562  1  0 99  0
 0  0      0 80968528 324984 30707276    0    0     0     6 6035 12541  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 80968104 324984 30707280    0    0     0    28 6248 13290  1  0 99  0
 0  0      0 80967488 324984 30707312    0    0     0  3608 6212 12858  0  0 99  0
 0  0      0 80967744 324984 30707316    0    0     0     0 6210 12803  0  0 99  0
 1  0      0 80967888 324984 30707320    0    0     0     0 6141 12806  0  0 99  0
 0  0      0 80968824 324984 30707320    0    0     0    34 6024 12482  0  0 100  0
 3  0      0 80969008 324984 30707328    0    0     0   162 6438 16718  1  1 98  0
 0  0      0 80969152 324984 30707340    0    0     0  4124 6608 18155  1  1 98  0
 0  0      0 80968440 324984 30707340    0    0     0   116 6189 12886  0  0 99  0
 1  0      0 80968416 324984 30707332    0    0     0   112 6444 13626  1  0 99  0
 0  0      0 80969120 324984 30707332    0    0     0   164 6342 13464  0  0 99  0
 1  0      0 80969552 324984 30707332    0    0     0    82 6093 12737  0  0 100  0
 0  0      0 80969312 324984 30707332    0    0     0  3632 6178 12803  1  0 99  0
