procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1663332 41085284 339988 55657284    6    5     6    11    0    0  8  3 89  0
 3  0 1663332 41084908 339988 55657272    0    0     0    14 4328 10013  2  1 97  0
 0  0 1663332 41085248 339988 55657312    0    0     0    74 4565 10711  2  1 97  0
 2  0 1663332 41084988 339988 55657372    0    0     0     0 3814 8414  1  0 99  0
 1  0 1663332 41083896 339988 55657400    0    0     0     0 4090 9029  1  1 98  0
 0  0 1663332 41083708 339988 55657424    0    0     0    30 4198 9528  1  1 98  0
 0  0 1663332 41082044 339988 55657496    0    0     0    16 4248 9728  1  1 98  0
 0  0 1663332 41082444 339988 55657556    0    0     0    60 4045 9077  2  1 98  0
 0  0 1663332 41082540 339988 55657584    0    0     0     0 3769 8307  1  0 99  0
 0  0 1663332 41082136 339988 55657616    0    0     0    12 3967 8761  1  1 98  0
 2  0 1663332 41082996 339988 55657628    0    0     0    54 3777 8285  1  1 98  0
 0  0 1663332 41081400 339988 55657660    0    0     0   204 4188 9395  1  1 98  0
 1  0 1663332 41081388 339988 55657692    0    0     0    78 4478 10270  2  1 97  0
 0  0 1663332 41081624 339988 55657756    0    0     0     0 4299 9445  1  1 98  0
 1  0 1663332 41080744 339988 55657884    0    0     0   560 4171 9226  1  1 98  0
 0  0 1663332 41081228 339988 55657964    0    0     0    82 4024 8818  2  1 98  0
 0  0 1663332 41078512 339988 55658016    0    0     0    12 3875 8596  1  1 98  0
 3  0 1663332 41060104 339988 55658064    0    0     0    42 4096 9370  1  1 98  0
 1  0 1663332 41078200 339988 55658104    0    0     0     0 4006 9152  1  1 98  0
 1  0 1663332 41078552 339988 55658160    0    0     0    24 4237 9299  2  1 98  0
 0  0 1663332 41078376 339988 55658188    0    0     0    54 4099 9969  1  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 1663332 41077924 339988 55658244    0    0     0     0 3913 8710  1  1 98  0
 5  0 1663332 41076736 339988 55658288    0    0     0    40 4064 9075  1  1 98  0
 0  0 1663332 41077172 339988 55658328    0    0     0     0 4077 9370  1  1 98  0
 0  0 1663332 41078608 339988 55658380    0    0     0    16 3973 8826  2  1 98  0
 3  0 1663332 41075832 339988 55658404    0    0     0    62 4008 8922  1  1 98  0
 1  0 1663332 41075004 339988 55658504    0    0     0    12 4723 11330  2  1 97  0
