procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 81168320 324888 30649632    0    0     0    32    0    0  1  0 99  0
 0  1      0 81167424 324888 30649636    0    0     0  1024 6119 12558  0  0 99  0
 1  0      0 81166752 324888 30649536    0    0     0  2578 6567 13853  1  1 98  0
 0  0      0 81165880 324888 30649568    0    0     0     6 6192 12823  0  0 99  0
 1  0      0 81166208 324888 30649572    0    0     0    36 6236 12837  0  0 99  0
 0  0      0 81166336 324888 30649576    0    0     0     0 6009 12368  0  0 100  0
 2  0      0 81167600 324888 30649544    0    0     0     0 6054 12510  0  0 100  0
 1  0      0 81091240 324888 30723460    0    0     0  2954 7935 23110  4  1 95  0
 0  0      0 81165768 324888 30649012    0    0     0 63918 6826 13248  2  0 98  0
 0  0      0 81165680 324888 30649012    0    0     0   164 6115 12643  0  0 99  0
 0  0      0 81166032 324888 30649552    0    0     0   128 6207 13125  1  0 99  0
 1  0      0 81166256 324888 30649560    0    0     0   162 6390 13489  1  0 99  0
 0  0      0 81165888 324888 30649560    0    0     0  3708 6191 13209  1  0 99  0
 1  0      0 81164944 324888 30649560    0    0     0    68 6123 12966  0  0 99  0
 0  0      0 81165168 324888 30649560    0    0     0   100 6060 12653  0  0 99  0
 1  0      0 81165760 324888 30649560    0    0     0    64 6006 12443  0  0 100  0
 0  0      0 81165440 324888 30649572    0    0     0   104 6144 12592  0  0 100  0
 0  0      0 81165776 324888 30649576    0    0     0  3704 6338 15270  1  1 99  0
 0  0      0 81165656 324888 30649580    0    0     0   274 6122 14476  1  1 99  0
 0  0      0 81165600 324888 30649580    0    0     0     0 6023 12873  1  0 99  0
 1  0      0 81166040 324888 30649592    0    0     0     0 5978 12424  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 81165760 324888 30649596    0    0     0   592 6924 12885  1  0 99  0
 1  0      0 81165440 324888 30649596    0    0     0  3582 6198 12743  0  0 99  0
 0  0      0 81164032 324888 30649600    0    0     0     6 6103 12612  0  0 99  0
 1  0      0 81162752 324888 30649600    0    0     0    96 6167 13792  1  0 99  0
 0  0      0 81162272 324888 30649632    0    0     0    56 6128 13128  1  0 99  0
 0  0      0 81162208 324888 30650076    0    0     0     0 6056 12562  0  0 99  0
 0  0      0 81162720 324888 30650040    0    0     0  3590 6322 12819  1  0 99  0
 1  0      0 81164752 324888 30650172    0    0     0    24 6772 15032  1  1 99  0
 1  0      0 81163400 324888 30650140    0    0     0   254 6461 19809  1  1 98  0
 0  0      0 81164080 324888 30650172    0    0     0    40 5990 12476  0  0 99  0
 1  0      0 81164528 324888 30650172    0    0     0     0 5944 12444  0  0 99  0
