procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 485488 6604108 29517572 175844816    0    0     0   168 8772 13277  2  0 97  0  0	
 0  0 485488 6604740 29517572 175844816    0    0     0   112 3036 3930  0  0 100  0  0	
 1  0 485488 6605140 29517572 175844896    0    0     0   569 3940 5017  0  0 100  0  0	
 1  0 485488 6593720 29517572 175844944    0    0     0   310 7669 9471  5  0 95  0  0	
 1  0 485488 6538708 29517572 175845104    0    0     0   432 4789 5235  1  1 99  0  0	
 0  0 485488 6540844 29517572 175845152    0    0     0   278 8205 12547  2  0 98  0  0	
 0  0 485488 6537508 29517572 175845168    0    0     0   266 3698 4543  0  0 99  0  0	
 0  0 485488 6536452 29517572 175845216    0    0     0   855 4092 5226  0  0 100  0  0	
 1  0 485488 6537424 29517572 175845408    0    0     0   380 7801 11689  2  0 98  0  0	
 1  0 485488 6539228 29517572 175845552    0    0     0   288 3542 4505  0  0 100  0  0	
 0  0 485488 6538464 29517572 175845600    0    0     0   248 8229 12684  2  0 98  0  0	
 2  0 485488 6539420 29517572 175845616    0    0     0   274 3760 4451  0  0 99  0  0	
 1  0 485488 6533388 29517572 175845680    0    0     0   864 3937 4796  0  0 99  0  0	
 1  0 485488 6532904 29517572 175845696    0    0     0   255 8740 11605  4  0 96  0  0	
 0  0 485488 6493488 29517572 175845888    0    0     0   302 3582 4402  0  0 99  0  0	
 1  0 485480 6494848 29517572 175845952    2    0     2   228 8516 12603  2  0 98  0  0	
 1  0 485480 6456436 29517572 175845952    0    0     0   239 3302 4197  0  0 99  0  0	
 0  0 485480 6458480 29517572 175846016    0    0     0   953 4228 5233  0  0 99  0  0	
 1  0 485480 6509900 29517572 175846080    0    0     0   273 9030 13373  2  1 98  0  0	
 1  0 485480 6505132 29517572 175846240    0    0     0   317 4050 4698  1  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 485480 6504884 29517572 175846304    0    0     0   342 8406 11649  4  0 95  0  0	
 1  0 485480 6501324 29517572 175846320    0    0     0   241 4268 4452  0  1 99  0  0	
 1  0 485480 6496844 29517572 175846368    0    0     0   910 4357 5231  0  0 99  0  0	
 1  0 485480 6496192 29517572 175846432    0    0     0   468 8070 11915  2  0 98  0  0	
 1  0 485480 6492852 29517572 175846592    0    0     0   326 4133 4797  1  0 99  0  0	
 1  0 485480 6493940 29517572 175846704    0    0     0   346 8191 12630  2  0 98  0  0	
 2  0 485480 6494400 29517572 175846736    0    0     0   350 4212 4691  0  0 99  0  0	
 4  0 485480 6492948 29517572 175846784    0    0     0   648 3741 5021  0  0 100  0  0	
 1  0 485480 6498344 29517572 175846848    0    0     0   356 9231 13446  2  0 98  0  0	
 2  0 485480 6510484 29517572 175847040    0    0     0   574 4444 5363  0  0 99  0  0	
 1  0 485480 6507784 29517572 175847168    0    0     0   188 10105 14136  5  0 94  0  0	
 1  0 485476 6493860 29517572 175847168    0    0     0   214 3829 4663  1  0 99  0  0	
 1  0 485476 6488652 29517572 175847248    0    0     0   617 4016 5008  0  0 99  0  0	
 1  0 485476 6489168 29517572 175847312    0    0     0   270 8164 12616  2  0 98  0  0	
 1  0 485476 6500628 29517572 175847456    0    0     0   317 3486 4408  0  0 100  0  0	
 1  0 485476 6502552 29517572 175847456    0    0     0   240 8742 12349  4  0 95  0  0	
 1  0 485476 6502224 29517572 175847504    0    0     0   244 3617 4361  0  0 99  0  0	
 1  0 485476 6503808 29517572 175847568    0    0     0   942 3757 4805  0  0 100  0  0	
 1  0 485476 6504268 29517572 175847648    0    0     0   296 8251 12689  2  0 98  0  0	
 1  0 485476 6506452 29517572 175847792    0    0     0   244 3643 4685  0  0 100  0  0	
 1  0 485476 6529744 29517572 175847840    0    0     0   264 8279 12257  2  0 98  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 485476 6532068 29517572 175847840    0    0     0   404 4564 5092  0  0 99  0  0	
 1  0 485476 6531168 29517572 175847904    0    0     0   797 3388 4385  0  0 100  0  0	
 0  0 485476 6531640 29517572 175847968    0    0     0   242 8556 12771  2  0 98  0  0	
 2  0 485476 6531924 29517576 175848128    0    0     0   308 3479 4376  0  0 100  0  0	
 1  0 485476 6533904 29517576 175848128    0    0     0   207 8862 12285  4  0 95  0  0	
 1  0 485476 6533504 29517576 175848176    0    0     0   226 3400 4250  0  0 100  0  0	
 2  0 485476 6544960 29517576 175848240    0    0     0   430 3993 5080  0  0 99  0  0	
 1  0 485476 6547340 29517576 175848304    0    0     0   897 8166 12387  2  0 98  0  0	
 1  0 485476 6547668 29517576 175848416    0    0     0   362 3925 4629  0  0 99  0  0	
 1  0 485476 6546880 29517576 175848512    0    0     0   378 8681 13419  2  0 98  0  0	
 1  0 485476 6546152 29517576 175848528    0    0     0   262 3648 4358  0  0 99  0  0	
 1  0 485476 6544828 29517576 175848576    0    0     0   324 3575 4464  0  0 100  0  0	
 1  0 485476 6523072 29517576 175848640    0    0     0   790 9724 13569  5  0 95  0  0	
 1  0 485476 6524272 29517576 175848784    0    0     0   223 3405 4395  0  0 100  0  0	
 1  0 485476 6521588 29517576 175848896    0    0     0   394 9193 13627  2  0 98  0  0	
 1  0 485476 6524824 29517576 175848928    0    0     0   368 3887 4703  0  0 99  0  0	
 1  0 485476 6521908 29517576 175848976    0    0     0   297 4001 4744  0  0 99  0  0	
 0  0 485476 6521768 29517576 175849056    0    0     0   486 9376 14023  2  0 98  0  0	
 1  0 485476 6512892 29517576 175849232    0    0    12   539 4870 5568  1  1 99  0  0	
 1  0 485476 6512460 29517576 175849360    0    0     0   184 8396 12884  2  0 98  0  0	
 1  0 485476 6513056 29517576 175849520    0    0    76   238 4170 4738  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 485476 6513260 29517576 175849600    0    0     0   326 3715 4925  0  0 100  0  0	
 1  0 485476 6533724 29517576 175849664    0    0     0   654 9458 12996  5  0 95  0  0	
 0  0 485476 6534636 29517576 175849808    0    0     0   246 3628 4448  0  0 99  0  0	
 1  0 485476 6540156 29517576 175849856    0    0     0   264 8128 11919  2  0 98  0  0	
 1  0 485476 6496492 29517576 175849872    0    0     0   362 5215 5350  1  1 98  0  0	
