procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 14838796 621732 7442780    0    0     2   151   21   11  0  0 99  0
 0  0      0 14949836 621944 7329004    0    0     0 101516 1512 1574  5  1 94  0
 1  0      0 14952220 621944 7329628    0    0     0 26250  844 1177  3  0 97  0
 1  0      0 14876472 621944 7402052    0    0     0     0  862 1110  6  1 93  0
 0  0      0 14947068 621952 7333716    0    0     0 105768 1161 1211  3  1 95  1
 0  0      0 14948600 621952 7333980    0    0     0   198  851 1127  0  0 99  0
 0  0      0 14944120 621960 7334252    0    0     0   188  762 1238  1  0 99  0
 0  0      0 14947804 621960 7334020    0    0     0     0  663 1139  0  0 100  0
 0  0      0 14946336 621960 7334044    0    0     0     0  712 1167  1  0 99  0
 0  0      0 14947452 621960 7334300    0    0     0    34  819 1236  1  0 99  0
 0  0      0 14949904 621960 7334052    0    0     0     8  431  797  0  0 100  0
 0  0      0 14945656 621960 7334060    0    0     0    28  651 1097  0  0 99  0
 1  0      0 14950420 621960 7334064    0    0     0     0  504  923  0  0 100  0
 0  0      0 14949756 621960 7334064    0    0     0     0  672 1091  1  0 99  0
 0  0      0 14948952 621960 7334316    0    0     0   680  623 1047  0  0 99  0
 0  0      0 14949436 621960 7334068    0    0     0     0  526  930  0  0 100  0
 1  0      0 14944352 621960 7334072    0    0     0    26  603  992  0  0 99  0
 0  0      0 14949280 621964 7334072    0    0     0   244  590 1009  0  0 100  0
 0  0      0 14949180 621964 7334072    0    0     0     0  522  906  0  0 100  0
 0  0      0 14948724 621964 7334080    0    0     0    46  627 1091  0  0 99  0
 0  0      0 14948464 621964 7334080    0    0     0     0  495  886  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 14944152 621964 7334332    0    0     0    30  700 1200  1  0 99  0
