procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 194596 24480408 347556 68835872    0    0     0    85    0    0  2  1 98  0
 2  0 194596 24490788 347556 68835808    0    0     0  1058 5641 13102  1  2 97  0
 0  0 194596 24490424 347556 68835904    0    0     0     0 6068 12424  1  1 98  0
 0  0 194596 24489932 347556 68835912    0    0     0    60 4877 11189  1  1 99  0
 1  0 194596 24490124 347556 68835920    0    0     0 15342 10172 11947  1  1 98  0
 0  0 194596 24489676 347556 68835968    0    0     0    12 7243 12865  1  1 98  0
 2  0 194596 24489072 347556 68836000    0    0     0   478 5432 12551  1  1 98  0
 0  0 194596 24488720 347556 68836032    0    0     0     0 5567 13326  2  1 97  0
 1  0 194596 24490352 347556 68836048    0    0     0   996 5086 11473  1  1 99  0
 1  0 194596 24489912 347556 68836064    0    0     0  6632 7369 11616  1  1 99  0
 0  0 194596 24490736 347556 68836064    0    0     0    10 4933 11318  1  0 99  0
 0  0 194596 24488332 347556 68836088    0    0     0   492 5232 12093  1  1 98  0
 0  0 194596 24488864 347556 68836112    0    0     0  9106 7641 11897  1  1 99  0
 0  0 194596 24488076 347556 68836128    0    0     0     0 4924 11274  1  1 99  0
 0  0 194596 24487304 347556 68836144    0    0     0   956 5338 12880  1  1 98  0
 1  0 194596 24488152 347556 68836144    0    0     0    14 5427 13627  1  1 98  0
 0  0 194596 24476708 347556 68836160    0    0     0    10 4943 11266  1  0 99  0
 0  0 194596 24488168 347556 68836304    0    0     0   412 5176 12090  1  1 98  0
 0  0 194596 24489716 347556 68836320    0    0     0    36 5381 13116  1  1 98  0
 1  0 194596 24487408 347556 68836336    0    0     0 11238 8838 11890  1  1 98  0
 0  0 194596 24488308 347556 68836336    0    0     0    14 5081 11859  1  1 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 194596 24489508 347556 68836352    0    0     0    10 5208 12308  1  1 99  0
 2  0 194596 24489596 347556 68836376    0    0     0  4936 6844 12761  1  1 98  0
 1  0 194596 24489920 347556 68836400    0    0     0     0 5179 11313  1  1 98  0
 0  0 194596 24487508 347556 68836416    0    0     0   422 5003 11876  1  1 99  0
 0  0 194596 24489068 347556 68836432    0    0     0    50 5160 11742  1  0 99  0
 9  0 194596 24483944 347556 68836448    0    0     0    10 4935 11199  1  0 99  0
 1  0 194596 24486380 347556 68836456    0    0     0 15052 10252 11785  1  1 98  0
 0  0 194596 24487508 347556 68836464    0    0     0    56 5063 11234  1  0 99  0
 1  0 194596 24488016 347556 68836480    0    0     0   248 5517 12106  1  1 98  0
 0  0 194596 24488400 347556 68836512    0    0     0   908 5687 13630  1  1 98  0
 0  0 194596 24488152 347556 68836504    0    0     0    10 5076 11509  1  1 98  0
 0  0 194596 24475980 347556 68836576    0    0     0   428 5162 11789  1  1 99  0
 0  0 194596 24486952 347556 68836592    0    0     0    32 5812 11434  1  1 99  0
 1  0 194596 24489212 347556 68836600    0    0     0  6270 7708 11835  1  1 98  0
 1  0 194596 24486360 347556 68836640    0    0     0   426 5272 12907  1  1 99  0
 2  0 194596 24486468 347556 68836640    0    0     0    10 5020 11547  1  0 99  0
 0  0 194596 24487440 347556 68836656    0    0     0  8526 8423 14228  1  1 97  0
 0  0 194596 24486228 347556 68836712    0    0     0   948 5072 11465  1  1 98  0
 1  0 194596 24487264 347556 68836720    0    0     0   414 4944 11915  1  1 99  0
 0  0 194596 24487468 347556 68836720    0    0     0    34 5029 11550  1  1 99  0
 2  0 194596 24487968 347556 68836752    0    0     0    34 5326 12157  1  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 194596 24488608 347556 68836752    0    0     0  7090 7173 12862  1  1 98  0
 1  0 194596 24486592 347556 68836760    0    0     0   522 5158 11791  1  1 98  0
