procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  48160 19116272 970124 39265576    0    0     1     5    0    0  0  0 99  0
 0  0  48160 19116264 970124 39265480    0    0     0     2 1822 3958  0  0 100  0
 1  0  48160 19116052 970124 39265492    0    0     0     0 1934 3988  0  0 100  0
 0  0  48160 19115808 970124 39265500    0    0     0    62 2560 6267  1  1 98  0
 0  0  48160 19116156 970124 39265504    0    0     0     4 1711 3713  0  0 100  0
 0  0  48160 19116504 970124 39265504    0    0     0    56 1912 4116  0  0 100  0
 0  0  48160 19116748 970124 39265512    0    0     0     2 1845 4091  0  0 100  0
 0  0  48160 19117024 970124 39265512    0    0     0     0 1829 3927  0  0 100  0
 0  0  48160 19117248 970124 39265512    0    0     0    40 1971 4297  0  0 100  0
 2  0  48160 19117044 970124 39265516    0    0     0     4 1775 3855  0  0 100  0
 0  0  48160 19117292 970124 39265516    0    0     0    44 1882 4007  0  0 100  0
 0  0  48160 19117600 970124 39265516    0    0     0    42 1944 4198  0  0 100  0
 2  0  48160 19117536 970124 39265520    0    0     0     0 1805 3808  0  0 100  0
 0  0  48160 19117560 970124 39265520    0    0     0     6 1837 3966  0  0 100  0
 0  0  48160 19117372 970124 39265528    0    0     0    48 1772 3865  0  0 100  0
 1  0  48160 19117344 970124 39265528    0    0     0     4 1924 3904  0  0 100  0
 0  0  48160 19117228 970124 39265532    0    0     0    40 1793 3851  0  0 100  0
 0  0  48160 19117288 970124 39265532    0    0     0     0 1924 4025  0  0 100  0
 0  0  48160 19117420 970124 39265532    0    0     0     6 1947 4351  0  0 100  0
 1  0  48160 19117412 970124 39265536    0    0     0    46 1738 3778  0  0 100  0
 0  0  48160 19117456 970124 39265540    0    0     0     6 1910 4141  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  48160 19117368 970124 39265544    0    0     0     2 1858 4129  0  0 100  0
 0  0  48160 19117280 970124 39265544    0    0     0    34 1826 3931  0  0 100  0
 1  0  48160 19117216 970124 39265544    0    0     0     6 1888 4069  0  0 100  0
 0  0  48160 19117084 970124 39265548    0    0     0     4 1765 3825  0  0 100  0
 0  0  48160 19117120 970124 39265548    0    0     0    44 1892 4075  0  0 100  0
 0  0  48160 19117280 970124 39265548    0    0     0     2 1833 3949  0  0 100  0
 1  0  48160 19116448 970124 39265552    0    0     0    40 1810 3980  0  0 100  0
 0  0  48160 19116100 970124 39265560    0    0     0     6 1854 4030  0  0 100  0
 0  0  48160 19116092 970124 39265560    0    0     0     4 1806 3998  0  0 100  0
 0  0  48160 19116404 970124 39265560    0    0     0    60 1794 3893  0  0 100  0
 0  0  48160 19116304 970124 39265580    0    0     0     4 1797 3921  0  0 100  0
 0  0  48160 19116820 970124 39265576    0    0     0     0 1929 4126  0  0 100  0
 0  0  48160 19116768 970124 39265584    0    0     0    54 1979 4448  0  0 100  0
 1  0  48160 19116860 970124 39265584    0    0     0     4 1722 3757  0  0 100  0
 0  0  48160 19116908 970124 39265584    0    0     0    44 1891 4216  0  0 100  0
 1  0  48160 19117148 970124 39265588    0    0     0    44 1838 4070  0  0 100  0
 0  0  48160 19117360 970124 39265588    0    0     0     0 1817 3965  0  0 100  0
 0  0  48160 19117356 970124 39265588    0    0     0     6 1881 4189  0  0 100  0
 0  0  48160 19117364 970124 39265596    0    0     0    48 1803 3898  0  0 100  0
 1  0  48160 19117256 970124 39265596    0    0     0     4 1879 4009  0  0 100  0
 0  0  48160 19117436 970124 39265600    0    0     0    48 1967 4034  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  48160 19117324 970124 39265600    0    0     0     0 1782 3871  0  0 100  0
 0  0  48160 19117240 970124 39265600    0    0     0     6 1914 4113  0  0 100  0
 1  0  48160 19117240 970124 39265608    0    0     0    42 1795 3891  0  0 100  0
 0  0  48160 19117296 970124 39265608    0    0     0     4 1867 4011  0  0 100  0
 0  0  48160 19117288 970124 39265616    0    0     0    40 1760 3821  0  0 100  0
 0  0  48160 19117288 970124 39265616    0    0     0     0 1952 4054  0  0 100  0
 0  0  48160 19117164 970124 39265616    0    0     0     6 2032 4549  0  0 100  0
 0  0  48160 19117280 970124 39265620    0    0     0    48 1720 3675  0  0 100  0
 0  0  48160 19117316 970124 39265620    0    0     0     4 1894 4129  0  0 100  0
 0  0  48160 19117720 970124 39265620    0    0     0     4 1876 4086  0  0 100  0
 0  0  48160 19117600 970124 39265620    0    0     0    36 1821 3980  0  0 100  0
 0  0  48160 19117696 970124 39265624    0    0     0     6 1912 4191  0  0 100  0
 0  0  48160 19117588 970124 39265628    0    0     0     4 1747 3776  0  0 100  0
 0  0  48160 19117844 970124 39265628    0    0     0    46 1864 3994  0  0 100  0
 0  0  48160 19117880 970124 39265632    0    0     0     2 1845 3937  0  0 100  0
 1  0  48160 19116704 970124 39265632    0    0     0     2 1854 3940  0  0 100  0
 0  0  48160 19116344 970124 39265636    0    0     0    56 1955 4180  0  0 100  0
 0  0  48160 19116024 970124 39265640    0    0     0     4 1796 3888  0  0 100  0
 0  0  48160 19116172 970124 39265640    0    0     0    44 1846 3977  0  0 100  0
 1  0  48160 19116120 970124 39265660    0    0     0     2 1795 3899  0  0 100  0
 0  0  48160 19116632 970124 39265656    0    0     0     0 1929 4123  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  48160 19116516 970124 39265656    0    0     0    50 2000 4524  0  0 100  0
 0  0  48160 19116704 970124 39265656    0    0     0     4 1800 3931  0  0 100  0
 1  0  48160 19116968 970124 39265656    0    0     0    44 1951 4244  0  0 100  0
