procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 485740 6839048 30100628 174625152    0    0   648   328 5624 6201  0  0 97  3  0	
 0  1 485740 6833920 30101740 174625168    0    0   526  1257 5975 6286  0  0 97  3  0	
 0  1 485740 6833784 30101988 174625504    0    0   155  5309 5634 5146  0  0 97  3  0	
 1  1 485740 6832188 30102112 174625552    0    0    62   332 4494 5513  0  0 96  3  0	
 1  1 485740 6828816 30102248 174625600    0    0    76  1408 5457 6928  3  0 94  3  0	
 1  1 485740 6855300 30102528 174625600    0    0   132   218 3857 5199  0  0 96  3  0	
 0  1 485740 6852560 30102664 174625792    0    0    72   451 3385 5084  1  0 96  3  0	
 0  1 485740 6849176 30102948 174625680    0    0   154   268 3529 5180  0  0 97  3  0	
 1  1 485740 6858864 30104000 174625584    0    0   531   236 4532 5998  0  0 96  3  0	
 1  1 485740 6856104 30105016 174625760    0    0   512  1669 5621 6677  0  0 97  3  0	
 0  1 485740 6862032 30106156 174625728    0    0   565   146 4748 5735  0  0 96  3  0	
 0  1 485740 6861468 30107696 174625952    0    0   789  1378 5234 6051  0  0 97  3  0	
 1  1 485740 6862956 30108992 174625920    0    0   651   280 4409 5634  0  0 97  3  0	
 1  1 485740 6858052 30110260 174625904    0    0   609   298 5588 6595  0  0 96  3  0	
 2  1 485740 6848036 30111912 174626064    0    0   848  1931 6839 6761  1  1 96  3  0	
 0  1 485740 6847768 30113376 174625904    0    0   769   252 4994 5692  0  0 97  3  0	
 3  1 485740 6847244 30114596 174626272    0    0   650  1515 5408 6348  0  0 96  3  0	
 1  1 485740 6849860 30115932 174626400    0    0   712   214 4850 5487  0  0 97  3  0	
 1  1 485740 6847180 30117116 174626240    0    0   637   394 5442 6166  0  0 96  3  0	
 1  1 485740 6845784 30118168 174626496    0    0   519  6530 7217 7118  0  0 96  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 485740 6831440 30118400 174626656    0    0   122   374 4527 6633  1  0 96  3  0	
 1  1 485740 6831536 30118576 174626944    0    0    79   959 4275 5664  0  0 96  3  0	
 1  1 485740 6831132 30118692 174626976    0    0    51   204 3619 4464  0  0 97  3  0	
 2  1 485740 6821728 30118708 174627056    0    0    10   404 5068 5624  1  1 95  3  0	
 1  1 485740 6822996 30118876 174627104    0    0   103   613 4003 5320  0  0 97  3  0	
 0  1 485740 6906808 30120016 174626944    0    0   570   154 5272 5661  0  0 97  2  0	
 1  1 485740 6906040 30120976 174626944    0    0   506  1076 4597 6220  0  0 96  3  0	
 3  1 485740 6923828 30122240 174626976    0    0   568   223 6228 5260  0  2 94  3  0	
 4  1 485740 6906676 30123400 174627056    0    0   574   300 9765 6559  0  4 93  3  0	
 1  1 485740 6916672 30124712 174627168    0    0   691  1788 6943 6244  0  2 94  3  0	
 1  1 485740 6914616 30126144 174627648    0    0   753   320 4912 5993  0  0 97  3  0	
 0  1 485740 6910256 30127460 174627488    0    0   689  1441 4862 5931  0  0 96  3  0	
 1  1 485740 6906032 30128628 174627392    0    0   590   245 4807 5742  0  0 96  3  0	
 2  1 485740 6901392 30129880 174627456    0    0   682   406 5460 6550  0  0 96  3  0	
 1  1 485740 6893636 30131412 174627504    0    0   755  1946 5410 6898  0  0 97  3  0	
 1  1 485740 6890560 30132984 174627392    0    0   789   226 6008 6092  0  1 97  3  0	
 0  1 485740 6888312 30133984 174627840    0    0   512  1393 4546 6122  0  0 96  3  0	
 4  0 485740 6888124 30134272 174628000    0    0   143  5553 5488 5312  0  0 96  3  0	
 0  1 485740 6887572 30134356 174628064    0    0    29   304 3893 5664  0  0 96  3  0	
 1  1 485740 6886748 30134484 174628160    0    0    71  1132 3927 5580  0  0 97  3  0	
 1  1 485740 6909584 30134716 174628128    0    0   116   204 3981 5043  0  0 96  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 485740 6907568 30135240 174628064    0    0   280   416 4289 5942  0  0 97  3  0	
 1  1 485740 6908132 30135624 174628384    0    0   214   612 3903 4993  0  0 97  3  0	
 2  1 485740 6906528 30136444 174628048    0    0   401   274 4964 5889  0  0 96  3  0	
 1  1 485740 6908132 30137844 174628208    0    0   738  1388 5354 6195  0  0 96  3  0	
 0  1 485740 6873408 30139188 174628288    0    0   716   356 5733 6207  1  0 96  3  0	
 0  1 485740 6863688 30140452 174628288    0    0   663   396 5509 6974  1  0 96  3  0	
 2  1 485740 6858128 30141956 174628560    0    0   772  1346 5947 6381  0  0 97  3  0	
 1  1 485740 6855860 30143416 174628480    0    0   735   350 5126 6766  0  0 97  3  0	
 1  1 485740 6858724 30144936 174629040    0    0   818  1829 5757 7417  0  0 97  3  0	
 1  1 485740 6858344 30146440 174628592    0    0   772   188 5495 6889  2  0 95  3  0	
 3  1 485740 6854052 30147784 174628800    0    0   719   572 5488 6832  0  0 96  3  0	
 1  1 485740 6852420 30149584 174629344    0    0   960  1443 4608 6131  0  0 97  3  0	
 2  1 485740 6850452 30150852 174629072    0    0   675   310 4821 6331  0  0 97  3  0	
 1  1 485740 6848424 30152232 174629088    0    0   735  7411 7417 6823  0  0 96  3  0	
 0  1 485740 6848300 30152540 174629312    0    0   171   170 3197 4769  0  0 97  3  0	
 1  1 485740 6846260 30152956 174629376    0    0   220   338 3735 5391  0  0 96  3  0	
 0  1 485740 6842868 30153024 174629504    0    0    29   831 3245 4862  1  0 96  3  0	
 0  1 485740 6841536 30153356 174629488    0    0   185   282 3670 5457  0  0 96  3  0	
 5  1 485740 6838312 30153644 174629616    0    0   146   934 4723 5366  0  1 96  3  0	
 5  1 485740 6876528 30153868 174629600    0    0   147   316 7225 5546  0  4 93  3  0	
 5  1 485740 6869628 30155244 174629504    0    0   709   292 8107 6509  0  3 93  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 485740 6867132 30156340 174629792    0    0   567   938 7551 5493  0  3 93  3  0	
 1  1 485740 6857456 30157700 174629808    0    0   739   566 8111 9164  2  1 95  3  0	
 1  1 485740 6854788 30159016 174629888    0    0   639  2017 4840 6428  0  0 97  3  0	
 2  1 485740 6852392 30160456 174629792    0    0   773   142 4681 5888  0  0 97  3  0	
 1  1 485740 6845896 30162028 174630496    0    0   845   284 5147 6310  0  0 96  3  0	
 0  1 485740 6837292 30163640 174629920    0    0   834  1537 5192 6282  0  0 96  3  0	
 0  1 485740 6834732 30165352 174630080    0    0   899   282 5284 6427  0  0 97  3  0	
 1  1 485740 6832600 30166764 174630240    0    0   775  2240 5669 6882  0  0 96  3  0	
 1  1 485740 6830972 30168116 174630272    0    0   712   144 4598 5673  0  0 97  3  0	
 1  1 485740 6825092 30169452 174630432    0    0   674   470 5652 6524  1  0 96  3  0	
 2  1 485740 6820152 30170176 174630768    0    0   407  7062 6711 5598  0  0 96  3  0	
 1  1 485740 6807436 30170488 174630640    0    0   152   348 5099 5512  1  0 96  3  0	
 1  1 485740 6799516 30171572 174630576    0    0   532  1216 4791 6052  0  0 96  3  0	
 3  1 485740 6801972 30171848 174630784    0    0   166   390 3280 4846  0  0 96  3  0	
 1  1 485740 6799720 30172276 174631088    0    0   259   388 4465 6059  0  0 96  3  0	
 0  1 485740 6883960 30172580 174631136    0    0   161   678 3260 5034  0  0 96  3  0	
 1  1 485740 6888220 30173444 174630912    0    0   488   370 5150 6203  0  0 96  3  0	
 2  2 485740 6885036 30174256 174631136    0    0   421  1352 5514 6457  0  0 96  3  0	
 1  1 485740 6885976 30175568 174631056    0    0   726   164 5184 6249  0  0 97  3  0	
 1  1 485740 6850200 30177084 174631584    0    0   821   442 5812 7109  1  0 96  3  0	
 2  1 485740 6843988 30178372 174631264    0    0   711  1493 7315 8597  3  0 94  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 485740 6842604 30179600 174631360    0    0   638   338 5789 7202  1  0 96  3  0	
 0  1 485740 6839292 30181116 174631472    0    0   794  1770 5859 6783  0  0 96  3  0	
 2  1 485740 6825848 30182616 174632016    0    0   787   252 8359 9814  4  0 93  3  0	
 1  1 485740 6825776 30183940 174631648    0    0   678   258 4665 5971  0  0 97  3  0	
 0  1 485740 6828920 30185148 174631808    0    0   673  1496 4979 5803  0  0 97  3  0	
 1  1 485740 6824412 30186292 174631776    0    0   653   300 6849 7655  1  0 96  3  0	
 0  2 485740 6809712 30187428 174631792    0    0   624  4742 7022 7075  1  1 96  3  0	
 1  1 485740 6789312 30187664 174632192    0    0   118  3502 6741 7220  3  0 93  4  0	
 1  1 485740 6786888 30188068 174632352    0    0   228   172 3952 4917  0  0 97  3  0	
 0  1 485740 6788720 30188384 174632464    0    0   155   535 3676 4761  0  0 97  3  0	
 1  1 485740 6784760 30188816 174632528    0    0   215   390 5580 6605  1  0 96  3  0	
 1  1 485740 6775040 30188944 174632640    0    0    51  1231 4446 5373  0  0 96  3  0	
 0  1 485740 6776736 30189164 174632656    0    0   147   306 5574 6529  1  0 95  3  0	
 0  1 485740 6776220 30189996 174632432    0    0   467   320 4790 5331  0  0 97  3  0	
 2  1 485740 6759064 30191704 174632480    0    0   972  1004 5435 6125  0  0 96  3  0	
 2  1 485740 6762000 30193044 174632624    0    0   725   402 14536 9078  3  3 91  3  0	
 4  1 485740 6743388 30194680 174633152    0    0   898  2350 7589 7623  1  2 94  3  0	
 1  1 485740 6739220 30196176 174632640    0    0   815   271 6125 7339  1  0 96  3  0	
 0  1 485740 6752416 30197284 174632992    0    0   623   344 4679 6305  0  0 97  3  0	
 1  1 485740 6754192 30198524 174633024    0    0   656  1338 5103 5829  0  0 97  2  0	
 1  1 485740 6753644 30199952 174632960    0    0   814   376 7857 8103  3  1 93  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 485740 6752436 30201180 174633120    0    0   677  1759 4619 6074  0  0 97  3  0	
 0  1 485740 6752672 30202784 174633696    0    0   889   428 5737 7318  1  0 96  3  0	
 1  1 485740 6738052 30204300 174633232    0    0   798   284 6169 7044  0  0 96  3  0	
 1  2 485740 6734060 30205484 174633680    0    0   667  4317 5748 6134  0  0 96  3  0	
 0  1 485740 6735200 30205584 174633920    0    0    66  3236 5639 7096  1  0 95  4  0	
 1  1 485740 6732552 30205688 174633984    0    0    53   930 4088 6158  0  0 96  3  0	
 1  1 485740 6728316 30205916 174634016    0    0   118   319 4687 6463  1  0 96  3  0	
 2  1 485740 6726868 30206320 174634240    0    0   187   282 4279 5251  0  0 96  3  0	
 1  1 485740 6727752 30206760 174634304    0    0   219   554 3632 4944  0  0 97  3  0	
 1  1 485740 6726904 30207416 174634096    0    0   345   346 5080 6854  1  0 96  3  0	
 2  1 485740 6713952 30208308 174634192    0    0   527   482 4953 6185  0  0 96  3  0	
 0  1 485740 6766080 30209612 174634208    0    0   725   948 5763 6464  1  0 96  3  0	
 2  1 485740 6751424 30211356 174633984    0    0  1024   234 5992 6772  1  0 97  3  0	
 2  1 485740 6752124 30212472 174634496    0    0   626  1489 4809 5544  0  0 97  3  0	
 0  1 485740 6684448 30213892 174634176    0    0   769   418 9100 8849  2  1 94  3  0	
 3  1 485740 6639432 30215400 174634944    0    0   852   800 10705 10647  3  1 93  3  0	
 0  1 485740 6593180 30216744 174634544    0    0   737  1634 11248 11049  4  1 93  3  0	
 3  1 485740 6589164 30218156 174634656    0    0   846   148 9629 9809  3  1 93  3  0	
 0  1 485740 6587728 30219348 174634528    0    0   659  1464 10100 10260  3  1 93  3  0	
 2  1 485740 6567372 30220632 174634576    0    0   684   364 10714 10977  3  1 93  3  0	
 1  1 485740 6563064 30221840 174634928    0    0   684   846 10765 10981  3  1 93  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 485740 6562136 30222964 174634944    0    0   667  7357 12644 10981  3  1 93  3  0	
 4  1 485740 6550020 30223432 174635392    0    0   313  1022 12076 13179  6  1 90  3  0	
 2  1 485740 6440360 30223736 174635648    0    0   187  1807 12612 12250  5  2 90  3  0	
 8  1 485740 6183372 30224036 174635632    0    0   176  1716 15323 14840  8  2 87  3  0	
12  1 485740 5818016 30224388 174635776    0    0   170  4163 23309 19756 26  3 68  3  0	
17  3 485740 5793308 30224616 174635728    0    0   111  4142 29971 23667 42  2 55  2  0	
 5  1 485740 5771060 30225064 174635632    0    0   265  3726 21798 20907 19  2 77  3  0	
 9  1 485740 5767460 30226108 174636064    0    0   554  1906 13363 13642  7  1 89  3  0	
 2  1 485740 5755740 30227084 174636208    0    0   521  1531 14289 14530  8  1 88  3  0	
13  0 485740 5758596 30228456 174635648    0    0   799  2288 14905 12801  7  2 88  3  0	
 2  1 485740 5751020 30229700 174636192    0    0   701  2952 27242 18276 27  5 66  3  0	
 7  1 485740 5734236 30230940 174636096    0    0   729  2632 25695 21168 25  3 70  3  0	
 6  1 485740 5728240 30232364 174636640    0    0   809  2868 19386 16446 19  1 77  3  0	
 2  1 485740 5719720 30233776 174636288    0    0   803  1828 18112 17222 14  1 82  3  0	
 3  1 485740 5716060 30234964 174636336    0    0   696  3359 18255 17465 14  1 82  3  0	
 4  1 485740 5712288 30236624 174637056    0    0   999  1774 18555 17962 12  1 84  3  0	
 5  1 485740 5706944 30237920 174636736    0    0   797  2000 23568 19039 17  3 77  3  0	
14  1 485740 5719516 30239740 174636528    0    0  1041  3228 19644 16642 14  4 79  3  0	
