procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1646396 26620632 340576 69487824    6    5     6    11    0    0  8  3 89  0
 0  0 1646396 26620612 340576 69487744    0    0     0     0 4090 9325  1  1 98  0
 1  0 1646396 26595320 340584 69512584    0    0    90   762 4006 8778  2  1 97  0
 2  0 1646396 26385848 340584 69715480    0    0     0     0 4570 10752  3  1 96  0
 3  0 1646396 26379824 340584 69715504    0    0     0 52278 4255 8439  1  1 98  0
 0  0 1646396 26386276 340584 69715544    0    0     0   238 7638 9614  2  1 97  0
 1  0 1646396 26385984 340584 69715568    0    0     0     0 4138 10097  2  1 97  0
 0  0 1646396 26386736 340588 69715600    0    0     0 61934 4426 8314  1  1 98  0
 2  0 1646396 26353696 340588 69715632    0    0     0   226 4017 9246  1  1 98  0
 0  0 1646396 26386420 340588 69715696    0    0     0     6 3854 8690  1  0 98  0
 1  0 1646396 26385988 340588 69715728    0    0     0    44 4416 9448  3  1 96  0
 0  0 1646396 26384860 340588 69715864    0    0     0     0 4270 9363  1  1 98  0
 1  0 1646396 26385156 340588 69715904    0    0     0     0 3973 8844  1  1 98  0
 5  0 1646396 26365248 340588 69715936    0    0     0    32 44505 8441  2  1 98  0
 1  0 1646396 26385696 340588 69716032    0    0     0     6 4964 11374  4  1 95  0
 0  0 1646396 26384988 340588 69716064    0    0     0    66 3788 8701  1  0 98  0
 0  0 1646396 26385676 340588 69716104    0    0     0     0 3950 8729  2  1 98  0
 1  0 1646396 26352128 340588 69716144    0    0     0     0 4102 9446  2  1 98  0
 1  0 1646396 26384884 340588 69716184    0    0     0    54 4063 9560  1  1 98  0
 0  0 1646396 26383732 340588 69716192    0    0     0   224 4376 10254  2  1 98  0
 0  0 1646396 26384484 340588 69716248    0    0     0     0 3835 8328  1  1 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1646396 26388376 340588 69716272    0    0     0    68 4270 9946  2  1 98  0
 2  0 1646396 26355268 340588 69716304    0    0     0   294 3944 8995  1  1 98  0
