procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  48160 18816560 970144 39489096    0    0     1     5    0    0  0  0 99  0
 0  0  48160 18816452 970144 39488988    0    0     0     0 1713 3724  0  0 100  0
 0  0  48160 18816588 970144 39488996    0    0     0    74 1875 4117  0  0 100  0
 0  0  48160 18816688 970144 39488996    0    0     0     2 1858 3990  0  0 100  0
 1  0  48160 18816712 970144 39488996    0    0     0    56 1878 4037  0  0 100  0
 0  0  48160 18816596 970144 39489000    0    0     0     0 1890 3945  0  0 100  0
 0  0  48160 18816696 970144 39489000    0    0     0     0 1741 3825  0  0 100  0
 0  0  48160 18817332 970144 39489000    0    0     0    38 1806 3923  0  0 100  0
 1  0  48160 18817300 970144 39489000    0    0     0     2 1678 3682  0  0 100  0
 0  0  48160 18817700 970144 39489000    0    0     0    52 1909 4064  0  0 100  0
 1  0  48160 18817732 970144 39489008    0    0     0     0 1901 4217  0  0 100  0
 3  0  48160 18817760 970144 39489008    0    0     0     0 1838 3871  0  0 100  0
 0  0  48160 18818204 970144 39489012    0    0     0    40 1886 4212  0  0 100  0
 0  0  48160 18818032 970144 39489012    0    0     0    50 1830 3960  0  0 100  0
 0  0  48160 18817300 970144 39489012    0    0     0  1840 2068 4550  1  0 99  0
 0  0  48160 18817988 970144 39488292    0    0     0     0 1767 3925  0  0 100  0
 0  0  48160 18818268 970144 39488296    0    0     0     0 1733 3756  0  0 100  0
 0  0  48160 18818524 970144 39488300    0    0     0    82 1862 4128  0  0 100  0
 0  0  48160 18818692 970144 39488300    0    0     0     2 1831 3950  0  0 100  0
 0  0  48160 18816976 970144 39488292    0    0     0    66 1897 4129  0  0 100  0
 0  0  48160 18816712 970144 39488292    0    0     0     0 1803 3951  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  48160 18816924 970144 39488292    0    0     0     0 1777 3913  0  0 100  0
 0  0  48160 18817024 970144 39488292    0    0     0    42 1786 3920  0  0 100  0
 0  0  48160 18816872 970144 39488304    0    0     0     2 1729 3793  0  0 100  0
 1  0  48160 18817372 970144 39488304    0    0     0    62 1959 4141  0  0 100  0
 0  0  48160 18817364 970144 39488308    0    0     0     0 1851 4159  0  0 100  0
 1  0  48160 18817528 970144 39488308    0    0     0     0 1843 3883  0  0 100  0
 0  0  48160 18817852 970144 39488312    0    0     0    38 1880 4202  0  0 100  0
 0  0  48160 18818068 970144 39488316    0    0     0     2 1830 4002  0  0 100  0
 0  0  48160 18818216 970144 39488316    0    0     0    52 1835 3978  0  0 100  0
 0  0  48160 18818452 970144 39488320    0    0     0     0 1779 3959  0  0 100  0
 0  0  48160 18818444 970144 39488320    0    0     0     0 1755 3890  0  0 100  0
 0  0  48160 18818708 970144 39488320    0    0     0    44 1809 3979  0  0 100  0
 1  0  48160 18818888 970144 39488324    0    0     0     2 1836 4029  0  0 100  0
 0  0  48160 18818892 970144 39488324    0    0     0    56 1872 4083  0  0 100  0
 0  0  48160 18818808 970144 39488332    0    0     0     0 1827 3962  0  0 100  0
 0  0  48160 18818700 970144 39488332    0    0     0     0 1809 3934  0  0 100  0
 1  0  48160 18818848 970144 39488336    0    0     0    38 1778 3940  0  0 100  0
 0  0  48160 18818888 970144 39488336    0    0     0     2 1706 3779  0  0 100  0
 0  0  48160 18819064 970144 39488336    0    0     0    52 1931 4101  0  0 100  0
 0  0  48160 18818840 970144 39488340    0    0     0     0 1879 4268  0  0 100  0
 1  0  48160 18818600 970144 39488340    0    0     0     0 1881 4006  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  48160 18816912 970144 39488352    0    0     0    40 1868 4067  0  0 100  0
 0  0  48160 18817032 970144 39488352    0    0     0    46 1840 4034  0  0 100  0
 1  0  48160 18817284 970144 39488356    0    0     0    10 1799 3900  0  0 100  0
 1  0  48160 18817316 970144 39488356    0    0     0    50 1744 3913  0  0 100  0
 0  0  48160 18817460 970144 39488356    0    0     0     0 1756 3860  0  0 100  0
 0  0  48160 18817584 970144 39488360    0    0     0     4 1845 3993  0  0 100  0
 0  0  48160 18818032 970144 39488360    0    0     0    36 1844 3977  0  0 100  0
 0  0  48160 18816272 970144 39488364    0    0     0    10 1908 4207  0  0 100  0
 0  0  48160 18816012 970144 39488372    0    0     0     0 1929 3982  0  0 100  0
 0  0  48160 18816252 970144 39488372    0    0     0     0 1786 3907  0  0 100  0
 0  0  48160 18816376 970144 39488376    0    0     0    62 1790 3899  0  0 100  0
 0  0  48160 18817052 970144 39488384    0    0     0     2 1825 3812  0  0 100  0
 1  0  48160 18817208 970144 39488384    0    0     0    62 1954 4132  0  0 100  0
 0  0  48160 18816964 970144 39488392    0    0     0     0 1855 4184  0  0 100  0
 0  0  48160 18817132 970144 39488392    0    0     0     0 1833 3961  0  0 100  0
 2  0  48160 18817168 970144 39488396    0    0     0    42 2054 4386  0  0 99  0
 0  0  48160 18817320 970144 39488396    0    0     0     2 1784 3889  0  0 100  0
 0  0  48160 18817044 970144 39488396    0    0     0    54 1828 3965  0  0 100  0
 0  0  48160 18816912 970144 39488400    0    0     0     2 1754 3890  0  0 100  0
 1  0  48160 18816320 970144 39488400    0    0     0     0 1872 3883  0  0 100  0
 0  0  48160 18816476 970144 39488408    0    0     0    42 1828 3990  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  48160 18816532 970144 39488408    0    0     0     2 1832 3972  0  0 100  0
 0  0  48160 18816752 970144 39488408    0    0     0    52 1848 4026  0  0 100  0
 1  0  48160 18816644 970144 39488412    0    0     0     0 1840 3928  0  0 100  0
 0  0  48160 18816724 970144 39488412    0    0     0     0 1765 3885  0  0 100  0
 0  0  48160 18816848 970144 39488416    0    0     0    38 1786 3897  0  0 100  0
 0  0  48160 18816600 970144 39488420    0    0     0     2 1689 3703  0  0 100  0
 1  0  48160 18816588 970144 39488420    0    0     0    50 1914 4081  0  0 100  0
 0  0  48160 18816588 970144 39488420    0    0     0     0 1841 4149  0  0 100  0
 1  0  48160 18816560 970144 39488420    0    0     0     0 1864 3923  0  0 100  0
 0  0  48160 18816328 970144 39488424    0    0     0    40 1830 4067  0  0 100  0
 1  0  48160 18816544 970144 39488424    0    0     0    52 1808 3934  0  0 100  0
 1  0  48160 18816432 970144 39488424    0    0     0    10 1817 3897  0  0 100  0
 0  0  48160 18816608 970144 39488432    0    0     0     0 1739 3854  0  0 100  0
 0  0  48160 18816488 970144 39488432    0    0     0    40 1734 3758  0  0 100  0
