procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 80941904 324996 30726312    0    0     0    32    0    0  1  0 99  0
 0  0      0 80942192 324996 30726204    0    0     0   102 6115 12597  0  0 100  0
 0  0      0 80939360 324996 30726204    0    0     0  3682 16239 13283  1  1 98  0
 1  0      0 80938888 324996 30726200    0    0     0   184 6249 13536  1  0 99  0
 4  0      0 80938576 324996 30726200    0    0     0    82 6190 13591  1  0 99  0
 0  0      0 80938976 324996 30726204    0    0     0    70 5940 12609  0  0 99  0
 0  0      0 80939216 324996 30726204    0    0     0    62 5883 12516  0  0 99  0
 5  0      0 80938272 324996 30726208    0    0     0  3634 5821 12684  0  1 99  0
 1  0      0 80939392 324996 30726208    0    0     0    54 5896 12797  1  0 99  0
 0  0      0 80939584 324996 30726208    0    0     0     0 6013 12680  0  0 99  0
 1  0      0 80940400 324996 30726212    0    0     0   284 6241 15778  1  1 99  0
 1  0      0 80940896 324996 30726220    0    0     0     0 6025 12830  1  1 99  0
 1  0      0 80940216 324996 30726224    0    0     0  3594 6344 13497  1  0 99  0
 1  0      0 80941016 324996 30726224    0    0     0     6 5967 12722  1  0 99  0
 0  0      0 80941584 324996 30726228    0    0     0     0 5376 11959  0  0 99  0
 0  0      0 80940640 324996 30726232    0    0     0   132 5919 13303  0  0 99  0
 5  0      0 80940568 324996 30726236    0    0     0     0 5968 12587  0  0 99  0
 0  0      0 80940896 324996 30726236    0    0     0  3698 6214 13587  1  0 99  0
 1  0      0 80939584 324996 30726236    0    0     0     6 6152 13002  0  0 99  0
 0  0      0 80941872 324996 30726236    0    0     0     0 6535 13552  1  0 99  0
 0  0      0 80939664 324996 30728052    0    0     0    46 6080 12739  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 80941616 324996 30727864    0    0     0   278 7112 18240  1  1 98  0
 0  0      0 80940808 324996 30727864    0    0     0  3590 6210 12731  0  0 99  0
 1  0      0 80939328 324996 30727864    0    0     0     6 6185 13040  1  0 99  0
 0  0      0 80939568 324996 30727864    0    0     0     0 6042 12483  0  0 99  0
 0  0      0 80940176 324996 30727868    0    0     0    32 6086 12575  0  0 99  0
 4  0      0 80940800 324996 30727864    0    0     0     0 6275 13110  1  0 99  0
 0  0      0 80940784 324996 30727868    0    0     0   438 6257 13223  1  0 99  0
 1  0      0 80940472 324996 30727868    0    0     0    20 6030 12587  0  0 99  0
 1  0      0 80874816 324996 30791000    0    0     0   494 6977 22711  3  1 96  0
 0  0      0 80939744 324996 30728204    0    0     0 63236 6797 12979  2  1 97  0
 1  0      0 80939504 324996 30728212    0    0     0   118 6092 12586  0  0 100  0
 0  0      0 80939808 324996 30728212    0    0     0  3656 6162 12639  0  0 99  0
 1  0      0 80939312 324996 30727900    0    0     0   172 6490 13539  1  0 99  0
 0  0      0 80938296 324996 30727860    0    0     0    82 6346 13893  1  0 99  0
 0  0      0 80938632 324996 30727892    0    0     0    70 5969 12546  0  0 99  0
 1  0      0 80939344 324996 30727892    0    0     0    68 6235 12845  0  0 99  0
 0  0      0 80938480 324996 30727892    0    0     0  3640 6205 12762  1  0 99  0
 0  0      0 80939216 324996 30727892    0    0     0    48 6218 13045  1  0 99  0
 1  0      0 80938240 324996 30727892    0    0     0     0 6185 12863  0  0 99  0
 0  0      0 80939168 324996 30727896    0    0     0   206 6326 15775  1  0 99  0
 2  0      0 80937552 324996 30727900    0    0     0     0 6185 12906  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 80939184 324996 30727904    0    0     0  3594 6327 13197  0  0 99  0
 3  0      0 80939720 324996 30727904    0    0     0     6 6181 12687  1  0 99  0
 0  0      0 80939448 324996 30727908    0    0     0     0 6178 12763  0  0 99  0
 0  0      0 80939552 324996 30727912    0    0     0    90 6188 13447  1  0 99  0
 1  0      0 80939744 324996 30727920    0    0     0     0 6059 12559  0  0 99  0
 0  0      0 80940056 324996 30727920    0    0     0  3632 6959 13796  1  1 98  0
 1  0      0 80940144 324996 30727924    0    0     0     6 6045 12649  0  0 99  0
 0  0      0 80939904 324996 30727892    0    0     0     0 6409 13537  1  0 99  0
 2  0      0 80940080 324996 30727920    0    0     0    60 6096 12871  1  0 99  0
 1  0      0 80939728 324996 30727888    0    0     0   148 7311 21072  1  1 98  0
 0  0      0 80939600 324996 30727888    0    0     0  3580 6194 12606  0  0 99  0
