procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 484504 5435248 29511392 176492208    0    0     0   466 4254 5411  0  0 99  0  0	
 2  0 484504 5434692 29511392 176492288    0    0     0   620 4312 5251  2  0 98  0  0	
 1  0 484504 5434832 29511392 176492448    0    0     0   876 3829 5005  0  0 100  0  0	
 0  0 484504 5433816 29511392 176492480    0    0     0   236 3551 4399  0  0 99  0  0	
 2  0 484504 5432964 29511392 176492496    0    0     0   232 3734 4736  0  0 100  0  0	
 1  0 484504 5432612 29511392 176492544    0    0     0   379 3759 5158  0  0 100  0  0	
 1  0 484504 5430888 29511392 176492608    0    0     0   350 3940 4757  0  0 100  0  0	
 5  0 484504 5440720 29511392 176492896    0    0     4   915 3915 4913  0  0 99  0  0	
 6  0 484504 5442628 29511392 176492944    0    0     0   259 3668 4384  0  0 99  0  0	
 1  0 484504 5427212 29511392 176492976    0    0     8   237 3308 4111  0  0 99  0  0	
 0  0 484504 5425304 29511392 176493024    0    0     4   400 4091 5297  0  0 99  0  0	
 1  0 484504 5423656 29511392 176493104    0    0     0   430 3568 4534  1  0 99  0  0	
 2  0 484504 5446012 29511392 176493248    0    0     0  1109 4881 5552  2  0 98  0  0	
 0  0 484504 5446504 29511392 176493312    0    0     0   481 4103 4897  1  0 99  0  0	
 1  0 484504 5448604 29511392 176493328    0    0     0   250 3290 4130  0  0 99  0  0	
 1  0 484504 5446956 29511392 176493376    0    0     0   418 3820 4989  0  0 100  0  0	
 0  0 484504 5449704 29511392 176493440    0    0     0   170 3205 4081  0  0 100  0  0	
 4  0 484504 5488044 29511392 176493552    0    0     0   702 4091 5078  0  0 99  0  0	
 1  0 484504 5488872 29511392 176493680    0    0     0   372 4465 5089  2  0 98  0  0	
 0  0 484504 5557592 29511392 176493696    0    0     0   196 3558 4336  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 484504 5556516 29511392 176493888    0    0     0   472 4358 5373  0  0 99  0  0	
 1  0 484504 5560148 29511392 176493968    0    0     0   352 4800 6014  1  0 99  0  0	
 0  0 484504 5558984 29511392 176494128    0    0     0   544 4408 5520  1  0 99  0  0	
 2  0 484504 5559724 29511392 176494256    0    0     5   315 3423 4440  0  0 99  0  0	
 2  0 484504 5558564 29511392 176494272    0    0     0   272 3296 4261  0  0 100  0  0	
 5  0 484504 5575172 29511392 176494336    0    0     0   712 11377 6740  1  3 95  0  0	
 3  0 484504 5566136 29511392 176494400    0    0     0   456 6713 5040  1  3 96  0  0	
 3  0 484504 5566504 29511392 176494544    0    0     0   528 9163 5242  1  3 96  0  0	
 0  0 484504 5561812 29511392 176494592    0    0     0   168 3288 4287  0  0 100  0  0	
 1  0 484504 5556080 29511392 176494592    0    0     4   366 3747 4486  0  0 99  0  0	
 1  0 484504 5552544 29511392 176494656    0    0     0   422 3875 5184  0  0 100  0  0	
 0  0 484504 5553464 29511392 176494736    0    0     0   166 3296 4140  0  0 100  0  0	
 1  0 484504 5552208 29511392 176494880    0    0     0   999 3710 4724  0  0 100  0  0	
 5  0 484504 5554400 29511392 176494944    0    0     0   254 5252 4442  0  3 97  0  0	
 2  0 484504 5556636 29511392 176494944    0    0     0   194 5635 4798  0  3 97  0  0	
 1  0 484504 5557820 29511392 176495008    0    0     4   438 4580 5406  0  1 98  0  0	
 1  0 484504 5557860 29511392 176495072    0    0     0   230 3600 4561  0  0 100  0  0	
 0  0 484504 5559260 29511392 176495216    0    0     0  1293 4868 5608  2  0 97  0  0	
 1  0 484504 5554676 29511392 176495280    0    0     0   425 3699 4591  0  0 99  0  0	
 1  0 484504 5553568 29511392 176495280    0    0     0   238 3291 4449  0  0 100  0  0	
 1  0 484504 5552656 29511392 176495328    0    0     0   323 3941 5298  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 484504 5556140 29511392 176495392    0    0     0   280 3595 4471  0  0 100  0  0	
 1  0 484504 5557004 29511392 176495552    0    0     0   940 3982 4902  0  0 99  0  0	
 0  0 484504 5556684 29511392 176495744    0    0     0   280 3505 4719  0  0 100  0  0	
 2  0 484504 5554340 29511392 176495760    0    0     0   290 3869 4527  0  0 99  0  0	
 1  0 484504 5551772 29511392 176495808    0    0     4   434 4187 5517  0  0 99  0  0	
 0  0 484504 5557712 29511392 176495856    0    0     0   207 3616 4478  0  0 100  0  0	
 1  0 484504 5558528 29511392 176496000    0    0     0   694 4049 4908  0  0 99  0  0	
 1  0 484504 5556656 29511392 176496128    0    0     0   490 4065 4988  0  0 99  0  0	
 0  0 484504 5556656 29511392 176496160    0    0     0   244 3234 4253  0  0 100  0  0	
 1  0 484504 5555736 29511392 176496224    0    0     0   373 4152 5178  0  0 99  0  0	
 1  0 484504 5559696 29511392 176496288    0    0     0   263 4206 5585  0  0 99  0  0	
 0  0 484504 5561220 29511392 176496432    0    0     0   566 3854 5238  0  0 100  0  0	
 1  0 484504 5556744 29511392 176496560    0    0     0   244 3417 4342  0  0 100  0  0	
 1  0 484504 5557064 29511392 176496576    0    0     4   250 3372 4552  0  0 99  0  0	
 1  0 484504 5557440 29511392 176496640    0    0     0   346 4036 5411  0  0 100  0  0	
 1  0 484504 5556800 29511392 176496704    0    0     0   330 3707 4627  0  0 100  0  0	
 0  0 484504 5554644 29511392 176496944    0    0     0   508 3888 4694  0  0 99  0  0	
 1  0 484504 5533136 29511392 176496992    0    0     0   216 3797 4628  0  0 99  0  0	
 1  1 484504 5526412 29511392 176497008    0    0     4   338 4529 5092  1  0 99  0  0	
 1  0 484504 5530816 29511392 176497056    0    0     0   407 4429 5684  0  0 99  0  0	
 0  0 484504 5530280 29511392 176497120    0    0     0   232 3596 4556  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 484504 5523736 29511392 176497296    0    0     4   840 4282 5066  1  0 99  0  0	
 1  0 484504 5523572 29511392 176497344    0    0     0   424 3657 4710  1  0 99  0  0	
 1  0 484504 5523128 29511392 176497360    0    0     0   564 4529 5300  2  0 98  0  0	
 4  0 484504 5542364 29511392 176497424    0    0     0   440 7639 5619  0  2 97  0  0	
 0  0 484504 5539280 29511392 176497472    0    0     0   230 4800 4754  0  2 98  0  0	
 3  0 484504 5534296 29511396 176497632    0    0     0   720 3779 4780  0  0 99  0  0	
 2  1 484504 5546356 29511396 176497680    0    0     0   309 3318 4475  0  0 100  0  0	
 0  0 484504 5545988 29511396 176497680    0    0     0   214 3314 4525  0  0 100  0  0	
 1  0 484504 5546632 29511396 176497744    0    0     0   356 4194 5419  0  0 100  0  0	
 1  0 484504 5545972 29511396 176497808    0    0     0   382 3739 4639  0  0 100  0  0	
 1  0 484504 5544728 29511396 176497952    0    0     0   872 3627 4610  0  0 100  0  0	
 0  0 484504 5546484 29511396 176498016    0    0     0   281 3551 4766  0  0 100  0  0	
 1  0 484504 5546156 29511396 176498032    0    0     0   398 4353 5717  0  0 99  0  0	
 1  0 484504 5532936 29511396 176498112    0    0     4   432 5528 5892  3  0 97  0  0	
 1  0 484504 5532916 29511396 176498160    0    0     0   194 3299 4225  0  0 100  0  0	
 1  0 484504 5533188 29511396 176498304    0    0     4   702 3700 4807  0  0 99  0  0	
 5  0 484504 5532856 29511396 176498432    0    0     0   605 4488 5652  1  0 99  0  0	
 3  0 484504 5530276 29511396 176498448    0    0     0   651 4632 5515  2  0 98  0  0	
 1  0 484504 5528348 29511396 176498496    0    0     0   622 4710 5996  1  0 99  0  0	
 1  0 484504 5527212 29511396 176498576    0    0     0   317 4623 5733  0  0 99  0  0	
 1  0 484504 5527460 29511396 176498720    0    0     0   492 4010 5130  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 484504 5524744 29511396 176498848    0    0     0   414 3923 4528  1  0 99  0  0	
 3  0 484504 5521432 29511396 176498848    0    0     0   251 3887 4563  0  0 99  0  0	
 0  0 484504 5520468 29511396 176498928    0    0     0   396 4332 5308  0  0 99  0  0	
 1  0 484504 5521628 29511396 176498992    0    0     0   294 3488 4560  0  0 100  0  0	
 1  0 484504 5525740 29511396 176499136    0    0     0   583 3561 4581  0  0 100  0  0	
 0  0 484504 5524720 29511400 176499168    0    0     4   264 3705 4517  0  0 99  0  0	
 1  0 484504 5523668 29511400 176499200    0    0     0   466 3681 4684  0  0 99  0  0	
 1  0 484504 5524524 29511400 176499264    0    0     0   394 3889 5055  0  0 100  0  0	
 0  0 484504 5524920 29511400 176499328    0    0     0   260 3464 4558  0  0 100  0  0	
 4  0 484504 5524592 29511400 176499488    0    0     0   886 3721 4900  0  0 99  0  0	
 1  0 484504 5522536 29511400 176499536    0    0     0   323 3573 4790  0  0 99  0  0	
 1  0 484504 5536792 29511400 176499552    0    0     0   162 3789 4636  0  0 99  0  0	
 1  0 484504 5542280 29511400 176499600    0    0     0   372 4263 5060  0  0 99  0  0	
 0  0 484504 5537000 29511400 176499648    0    0     0   326 4156 4853  0  0 99  0  0	
 0  0 484504 5536468 29511400 176499808    0    0     0   910 4080 4728  0  0 99  0  0	
 1  0 484504 5537140 29511400 176499824    0    0     0   596 3458 4389  0  0 100  0  0	
 1  0 484504 5537816 29511400 176499872    0    0     0   264 3370 4340  0  0 100  0  0	
 1  0 484504 5535464 29511400 176499936    0    0     0   326 4509 5431  0  0 99  0  0	
 2  0 484504 5551988 29511400 176499984    0    0     0   278 4771 4345  0  2 98  0  0	
 1  0 484504 5543848 29511400 176500144    0    0     0   854 5962 5269  1  2 97  0  0	
 0  0 484504 5543712 29511400 176500224    0    0     0   480 3491 4789  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 484504 5543780 29511400 176500336    0    0    60   369 3808 4341  0  0 99  0  0	
