procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 14043284 695768 8374328    0    0     1   156   14   20  0  0 99  0
 0  0      0 14042416 695768 8374232    0    0     0     0  697 1150  0  0 100  0
 0  0      0 14039064 695768 8374244    0    0     0    80  770 1234  1  0 99  0
 0  0      0 14043972 695772 8374244    0    0     0    34  628 1051  0  0 100  0
 0  0      0 14043336 695772 8374248    0    0     0    12  551  937  0  0 100  0
 0  0      0 14043304 695772 8374500    0    0     0   176  807 1191  1  0 99  0
 0  0      0 14042992 695772 8374252    0    0     0     0  985 1210  1  0 99  0
 0  0      0 14038932 695772 8374256    0    0     0   172  590 1026  0  0 99  0
 0  0      0 14042792 695776 8374260    0    0     0    28  511  918  0  0 100  0
 0  0      0 14042792 695776 8374260    0    0     0     0  635 1091  0  0 100  0
 0  0      0 14041660 695780 8374516    0    0     0    26  680 1094  0  0 100  0
 0  0      0 14041852 695784 8374264    0    0     0     2  531  913  0  0 100  0
 0  0      0 14039972 695784 8374272    0    0     0    28  638 1076  0  0 99  0
 0  0      0 14041696 695784 8374532    0    0     0     0  613 1031  1  0 99  0
 0  0      0 14041468 695788 8374280    0    0     0    58  575  924  0  0 100  0
 0  0      0 14042048 695788 8374280    0    0     0    30  710 1195  0  0 99  0
 0  0      0 14042012 695788 8374288    0    0     0     0  620 1049  0  0 100  0
 0  0      0 14039672 695792 8374284    0    0     0    44  730 1186  1  0 99  0
 0  0      0 14042744 695792 8374544    0    0     0     0  607 1038  0  0 100  0
 0  0      0 14041500 695792 8374316    0    0     0  5718  724 1079  1  0 99  0
 0  0      0 14042696 695796 8374652    0    0     0    40  670 1150  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 14042212 695796 8374400    0    0     0     0  592  962  0  0 100  0
 0  0      0 14038412 695800 8374400    0    0     0    80  543  959  0  0 100  0
 0  0      0 14042252 695800 8374408    0    0     0    68  545  972  0  0 100  0
 0  0      0 14042404 695800 8374408    0    0     0    12  559  933  0  0 100  0
 0  0      0 14040428 695800 8374928    0    0     0    32 1367 1688  1  0 98  0
 0  0      0 14041048 695804 8374676    0    0     0    18  539  917  0  0 100  0
 0  0      0 14038728 695804 8374680    0    0     0    38  530  925  0  0 100  0
 0  0      0 14041312 695804 8374760    0    0     0   196  623 1054  0  0 100  0
 0  0      0 14041336 695808 8374764    0    0     0    86  596  904  0  0 100  0
 0  0      0 14042260 695808 8375016    0    0     0    36  651 1133  0  0 100  0
 0  0      0 14041932 695808 8374772    0    0     0     0  660 1103  0  0 100  0
 0  0      0 14038256 695808 8375032    0    0     0    30  666 1087  0  0 99  0
 0  0      0 14039012 695812 8374784    0    0     0    10  804 1272  0  0 100  0
 0  0      0 14038664 695812 8374788    0    0     0    14  505  850  0  0 100  0
 0  0      0 14036628 695812 8375040    0    0     0    38  762 1214  0  0 99  0
 0  0      0 14037888 695812 8374792    0    0     0     0  739 1100  0  0 99  0
 1  0      0 14037660 695816 8374788    0    0     0    84  547  930  0  0 100  0
 0  0      0 14040972 695816 8374800    0    0     0     0  589 1007  0  0 100  0
 3  0      0 14040756 695816 8374800    0    0     0     0  580  954  0  0 100  0
 0  0      0 14041064 695816 8375056    0    0     0    28  692 1102  0  0 99  0
 0  0      0 14041080 695816 8374804    0    0     0     0  632 1063  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 14039104 695824 8374808    0    0     0    40  583 1006  0  0 100  0
 0  0      0 14041352 695824 8374808    0    0     0     6  752 1083  0  0 100  0
 0  0      0 14038488 695824 8375092    0    0     0    52  788 1124  1  0 99  0
 0  0      0 14041404 695824 8375164    0    0     0   266  567  982  0  0 100  0
 0  0      0 14040676 695824 8375164    0    0     0     0  687 1143  0  0 100  0
 0  0      0 14038012 695824 8375164    0    0     0    42  671 1069  0  0 100  0
 0  0      0 14041784 695824 8375416    0    0     0    22  585 1006  0  0 100  0
 0  0      0 14039660 695824 8375512    0    0     0  3778  847 1261  1  0 99  0
 0  0      0 14040580 695824 8375804    0    0     0    38  638 1078  0  0 99  0
 0  0      0 14040908 695824 8375636    0    0     0     0  651 1055  0  0 100  0
 0  0      0 14036852 695832 8375640    0    0     0   104  530  934  0  0 100  0
 0  0      0 14040328 695832 8375892    0    0     0     0  489  893  0  0 100  0
 0  0      0 14040592 695832 8375644    0    0     0    38  648 1085  0  0 100  0
 0  0      0 14041460 695836 8375896    0    0     0    26  672 1085  0  0 100  0
 0  0      0 14041432 695840 8375644    0    0     0     6  599 1005  0  0 100  0
 0  0      0 14037384 695840 8375648    0    0     0    30  593 1012  0  0 100  0
 0  0      0 14040504 695840 8375648    0    0     0   146  528  917  0  0 100  0
 1  0      0 14040524 695840 8375648    0    0     0    68  596  975  0  0 100  0
 0  0      0 14040500 695840 8375908    0    0     0    30  579 1025  0  0 100  0
 0  0      0 14040468 695840 8375660    0    0     0     0  602 1027  0  0 100  0
 0  0      0 14036836 695840 8375668    0    0     0    48  956 1330  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 14041224 695840 8375668    0    0     0     0  606 1030  0  0 100  0
 0  0      0 14041092 695840 8375668    0    0     0    16  483  835  0  0 100  0
 0  0      0 14039944 695844 8375920    0    0     0    32  673 1164  0  0 99  0
 0  0      0 14039920 695844 8375676    0    0     0     0  656 1034  0  0 100  0
 0  0      0 14037184 695844 8375676    0    0     0    24  615 1054  0  0 99  0
 0  0      0 14041316 695844 8375676    0    0     0     0  504  895  0  0 100  0
 0  0      0 14041100 695852 8375668    0    0     0    16  524  883  0  0 100  0
 0  0      0 14039836 695852 8375932    0    0     0    30  798 1273  1  0 99  0
 0  0      0 14040100 695852 8375680    0    0     0     0  584  984  0  0 100  0
 0  0      0 14037592 695852 8375940    0    0     0    64  774 1336  1  0 99  0
