procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  34228 2996116 936716 65813184    0    0     3     5    0    0  0  0 100  0
 1  0  34228 2966084 936716 65841152    0    0     4    56  412  947  1  0 99  0
 0  0  34228 2994736 936716 65812788    0    0     0 19036  437  962  0  0 100  0
 0  0  34228 2994836 936716 65812792    0    0     0    14  346  856  0  0 100  0
 0  0  34228 2994908 936716 65812792    0    0     0    36  290  820  0  0 100  0
 0  0  34228 2994740 936716 65813104    0    0     4     8  322  817  0  0 100  0
 0  0  34228 2994864 936716 65813104    0    0     0     0  290  837  0  0 100  0
 0  0  34228 2994956 936716 65813104    0    0     0    20  310  858  0  0 100  0
 1  0  34228 2994908 936716 65813120    0    0     4     0  319  833  0  0 100  0
 0  0  34228 2994944 936716 65813120    0    0     0     0  335  832  0  0 100  0
 0  0  34228 2994976 936716 65813120    0    0     0    14  307  791  0  0 100  0
 0  0  34228 2995112 936716 65813128    0    0     4     0  325  886  0  0 100  0
 1  0  34228 2995112 936716 65813144    0    0     8     0  299  849  0  0 100  0
 0  0  34228 2995112 936716 65813148    0    0     0    32  320  849  0  0 100  0
 0  0  34228 2995112 936716 65813156    0    0     8     0  311  844  0  0 100  0
 0  0  34228 2995112 936716 65813164    0    0     0   122  311  804  0  0 100  0
 1  0  34228 2995284 936716 65813164    0    0     0    18  353  911  0  0 100  0
 0  0  34228 2995284 936716 65813164    0    0     0     0  297  775  0  0 100  0
 0  0  34228 2995284 936716 65813176    0    0     4    20  320  877  0  0 100  0
 0  0  34228 2995408 936716 65813176    0    0     0    22  320  871  0  0 100  0
 1  0  34228 2994524 936716 65813176    0    0     0     4  325  841  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  34228 2994556 936716 65813176    0    0     0     0  334  901  0  0 100  0
 0  0  34228 2994564 936716 65813176    0    0     0    22  286  749  0  0 100  0
 0  0  34228 2994440 936716 65813192    0    0     4    12  348  963  0  0 100  0
 0  0  34228 2994672 936716 65813188    0    0     0     0  289  792  0  0 100  0
 0  0  34228 2994676 936716 65813196    0    0     4    32  336  906  0  0 100  0
 0  0  34228 2994832 936716 65813196    0    0     0     0  316  870  0  0 100  0
 0  0  34228 2994832 936716 65813196    0    0     0     0  316  795  0  0 100  0
 0  0  34228 2985584 936716 65816444    0    0     4    20 23550 2836  2  1 97  0
 0  0  34228 2985172 936720 65816588    0    0     4     0  313  833  0  0 100  0
 0  0  34228 2985488 936720 65816588    0    0     0  1798  365  854  0  0 100  0
 0  0  34228 2985764 936720 65816448    0    0     0     0  351  927  0  0 100  0
 0  0  34228 2986012 936720 65816448    0    0     0     0  273  760  0  0 100  0
 0  0  34228 2972280 936720 65816460    0    0     4    64 186737 3452  3  2 95  0
 0  0  34228 2972096 936720 65816460    0    0     0     0  279  734  0  0 100  0
 0  0  34228 2972984 936720 65816460    0    0     0     0  346  906  0  0 100  0
 1  0  34228 2973224 936720 65816460    0    0     0     8  319  809  0  0 100  0
 0  0  34228 2973812 936720 65816468    0    0     4     0  308  863  0  0 100  0
 0  0  34228 2974400 936720 65816472    0    0     0     0  321  910  0  0 100  0
 0  0  34228 2975044 936720 65816472    0    0     0    16  286  761  0  0 100  0
 1  0  34228 2975880 936720 65816472    0    0     0     0  334  857  0  0 100  0
 0  0  34228 2976468 936720 65816472    0    0     0     0  361  935  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  34228 2977432 936720 65816480    0    0     4    12  311  758  0  0 100  0
 0  0  34228 2976752 936720 65816068    0    0     0  4036  703 1612  1  0 99  0
 2  0  34228 2977728 936720 65815444    0    0     0     0  319  770  0  0 100  0
 0  0  34228 2978184 936720 65815448    0    0     0    22  314  895  0  0 100  0
 0  0  34228 2978588 936720 65815448    0    0     0    70  290  775  0  0 100  0
 0  0  34228 2978928 936720 65815448    0    0     0     0  322  856  0  0 100  0
 1  0  34228 2979200 936720 65815504    0    0     4    40  317  867  0  0 100  0
 0  0  34228 2979292 936720 65815504    0    0     0    28  290  793  0  0 100  0
 0  0  34228 2978076 936720 65815508    0    0     0   206  355  899  0  0 100  0
 0  0  34228 2978324 936720 65815508    0    0     0     0  301  827  0  0 100  0
 1  0  34228 2978656 936720 65815516    0    0     4    26  321  846  0  0 100  0
 0  0  34228 2978988 936720 65815532    0    0     4     0  362  919  0  0 100  0
 1  0  34228 2980236 936720 65815528    0    0     0     0  300  859  0  0 100  0
 1  0  34228 2980244 936720 65815528    0    0     4    28  329  897  0  0 100  0
 0  0  34228 2980648 936720 65815536    0    0     0     0  306  790  0  0 100  0
 0  0  34228 2980988 936720 65815536    0    0     0     0  332  864  0  0 100  0
 0  0  34228 2981668 936720 65815540    0    0     0    20  335  936  0  0 100  0
 0  0  34228 2981840 936720 65815540    0    0     0     0  319  891  0  0 100  0
 0  0  34228 2982064 936720 65815552    0    0     0    42  311  781  0  0 100  0
 0  0  34228 2982220 936720 65815552    0    0     0    48  336  905  0  0 100  0
 0  0  34228 2982600 936720 65815552    0    0     0     0  294  749  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  34228 2982724 936720 65815556    0    0     0    18  382  947  0  0 100  0
 0  0  34228 2982756 936720 65815556    0    0     0    10  296  845  0  0 100  0
 0  0  34228 2983120 936720 65815556    0    0     0    38  320  809  0  0 100  0
 0  0  34228 2983212 936720 65815556    0    0     0     0  315  875  0  0 100  0
 0  0  34228 2983708 936720 65815560    0    0     0    18  293  778  0  0 100  0
 0  0  34228 2983840 936720 65815560    0    0     4    84  323  873  0  0 100  0
 0  0  34228 2983964 936720 65815572    0    0     0     0  292  781  0  0 100  0
 0  0  34228 2984212 936720 65815572    0    0     0    20  330  861  0  0 100  0
 0  0  34228 2984584 936720 65815572    0    0     4     0  352  932  0  0 100  0
 0  0  34228 2984708 936720 65815580    0    0     0     0  277  732  0  0 100  0
 0  0  34228 2984956 936720 65815588    0    0     0    14  372  937  0  0 100  0
 0  0  34228 2985296 936720 65815588    0    0     0     0  315  805  0  0 100  0
 0  0  34228 2985296 936720 65815588    0    0     0     6  323  852  0  0 100  0
 0  0  34228 2985544 936720 65815588    0    0     0    12  285  784  0  0 100  0
 0  0  34228 2985672 936720 65815588    0    0     0     0  306  834  0  0 100  0
 0  0  34228 2986096 936720 65815592    0    0     0     0  334  882  0  0 100  0
 0  0  34228 2986096 936720 65815592    0    0     0     8  295  789  0  0 100  0
 1  0  34228 2984976 936720 65815592    0    0     0    18  346  921  0  0 100  0
 0  0  34228 2985316 936720 65815600    0    0     4     0  303  839  0  0 100  0
 0  0  34228 2985076 936720 65815600    0    0     4    28  306  851  0  0 100  0
 0  0  34228 2985304 936720 65815624    0    0     4    14  320  857  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  34228 2985668 936720 65815620    0    0     0     0  291  870  0  0 100  0
 0  0  34228 2986028 936720 65815620    0    0     0    82  345  912  0  0 100  0
 0  0  34228 2986256 936720 65815620    0    0     0     0  335  919  0  0 100  0
 0  0  34228 2986320 936720 65815620    0    0     4     0  347  881  0  0 100  0
 0  0  34228 2986448 936720 65815632    0    0     0    44  338  875  0  0 100  0
 0  0  34228 2986448 936720 65815632    0    0     0     0  317  868  0  0 100  0
 0  0  34228 2986556 936720 65815632    0    0     0     0  297  846  0  0 100  0
 1  0  34228 2986920 936720 65815652    0    0     0    10  730 1418  0  3 97  0
 1  0  34228 2986912 936720 65815652    0    0     0     0  767 1413  1  3 97  0
 0  0  34228 2987092 936720 65815660    0    0     0     0  312  830  0  0 100  0
 0  0  34228 2987224 936720 65815660    0    0     0    30  302  854  0  0 100  0
 0  0  34228 2987316 936720 65815664    0    0     4     4  304  810  0  0 100  0
 1  0  34228 2987688 936720 65815668    0    0     0     0  294  812  0  0 100  0
