procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1646452 26734820 340556 69370600    6    5     6    11    0    0  8  3 89  0
 1  0 1646452 26735956 340556 69370560    0    0     0   144 4513 10423  2  1 98  0
 0  0 1646452 26736224 340556 69370672    0    0     0     0 4241 9078  3  1 96  0
 2  0 1646452 26705260 340556 69370712    0    0     0   112 3915 8399  1  0 98  0
 1  0 1646452 26734840 340556 69370800    0    0     0     0 4145 9187  1  1 98  0
 0  0 1646452 26734964 340556 69370864    0    0     0     0 4069 9036  1  1 98  0
 2  0 1646452 26732568 340556 69370912    0    0     0   574 4308 10002  2  1 97  0
 1  0 1646452 26732772 340556 69370928    0    0     0     0 4363 9214  3  1 97  0
 0  0 1646452 26733376 340556 69371024    0    0     0   200 4637 9071  2  1 98  0
 0  0 1646452 26733264 340556 69371048    0    0     0     0 3881 8794  2  1 98  0
 0  0 1646452 26731896 340556 69371104    0    0     0     0 4388 9679  1  1 98  0
 1  0 1646452 26731888 340556 69371168    0    0     0   164 4194 9483  1  1 98  0
 0  0 1646452 26733408 340556 69371224    0    0     0     0 13800 9639  2  1 98  0
 0  0 1646452 26733124 340556 69371288    0    0     0    70 3877 8596  1  1 98  0
 1  0 1646452 26730908 340556 69371312    0    0     0     0 72838 10240  4  1 95  0
 1  0 1646452 26730520 340556 69371424    0    0     0     0 3999 8737  2  1 97  0
 0  0 1646452 26731496 340556 69371488    0    0     0    96 4182 8779  1  1 98  0
 1  0 1646452 26698900 340556 69371504    0    0     0     0 4003 9070  1  1 98  0
 0  0 1646452 26729748 340556 69371600    0    0     0   146 4016 9075  1  0 98  0
 1  0 1646452 26731708 340556 69371656    0    0     0     0 4501 10862  2  1 97  0
 0  0 1646452 26730460 340556 69371744    0    0     0     0 4067 9103  2  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1646452 26729760 340556 69371768    0    0     0   142 3997 8878  1  0 98  0
 3  0 1646452 26711636 340556 69371824    0    0     0     0 4129 10323  1  1 98  0
 0  0 1646452 26732388 340556 69371856    0    0     0   522 5504 8544  1  1 98  0
 0  0 1646452 26731984 340556 69371920    0    0     0     0 3843 8650  2  1 98  0
 0  0 1646452 26730420 340556 69371968    0    0     0     0 4064 9092  1  1 98  0
 1  0 1646452 26732548 340556 69372016    0    0     0   158 4299 9534  2  1 97  0
 3  0 1646452 26733324 340556 69372128    0    0     0     0 4342 9763  2  1 97  0
 0  0 1646452 26734300 340556 69372160    0    0     0   144 4721 8838  1  1 98  0
 1  0 1646452 26732244 340556 69372224    0    0     0     0 4257 9807  2  1 97  0
 0  0 1646452 26732208 340556 69372288    0    0     0     0 3954 8661  2  0 98  0
 2  0 1646452 26713696 340556 69372320    0    0     0   152 3974 9263  1  1 98  0
 1  0 1646452 26730980 340556 69372384    0    0     0     0 4076 9409  1  1 98  0
 1  0 1646452 26730444 340556 69372472    0    0     0   112 4145 9279  1  1 98  0
 1  0 1646452 26730476 340556 69372544    0    0     0     0 4333 9331  3  1 97  0
 0  0 1646452 26731916 340556 69372608    0    0     0     0 3873 8200  2  0 97  0
 1  0 1646452 26730864 340556 69372632    0    0     0   126 3940 9300  1  1 98  0
 2  0 1646452 26732612 340556 69372712    0    0     0     0 4269 9896  2  1 98  0
 1  0 1646452 26732304 340556 69372792    0    0     0   120 4176 9671  1  1 98  0
 0  0 1646452 26734692 340556 69372864    0    0     0     0 42691 17362  6  1 93  0
 3  0 1646452 26750048 340556 69372936    0    0     0     0 4245 8825  3  1 97  0
 0  0 1646452 26747480 340556 69373032    0    0     0   562 3965 8724  2  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1646452 26749192 340556 69373072    0    0     0     0 4611 10015  3  1 96  0
 0  0 1646452 26748512 340556 69373168    0    0     0   134 4288 9743  2  1 97  0
 1  0 1646452 26748072 340556 69373216    0    0     0     0 3755 8382  1  1 98  0
 0  0 1646452 26751280 340556 69373208    0    0     0     0 3954 8543  1  1 98  0
 2  0 1646452 26748368 340556 69373296    0    0     0   192 3879 8777  1  1 98  0
 0  0 1646452 26746940 340556 69373344    0    0     0     0 4120 9726  1  1 98  0
 1  0 1646452 26739280 340556 69373392    0    0     0   154 9432 9826  2  1 97  0
 1  0 1646452 26741136 340556 69373472    0    0     0     0 4518 10329  2  1 97  0
 1  0 1646452 26739880 340556 69373528    0    0     0     0 10728 9196  1  1 98  0
 3  0 1646452 26738576 340556 69373632    0    0     0   142 4190 8759  1  1 99  0
 0  0 1646452 26736388 340556 69373712    0    0     0     0 4272 10208  2  1 97  0
 1  0 1646452 26737392 340556 69373744    0    0     0   118 4040 9359  2  1 97  0
 0  0 1646452 26738768 340556 69373872    0    0     0     0 4070 9504  2  1 97  0
 3  0 1646452 26716988 340556 69373952    0    0     0     0 4036 8942  1  1 98  0
 0  0 1646452 26738416 340556 69373992    0    0     0   164 3772 8203  1  0 98  0
 1  0 1646452 26735480 340556 69374032    0    0     0     0 4073 9404  2  1 97  0
 0  0 1646452 26738408 340556 69374072    0    0     0   492 3978 8794  2  1 98  0
 0  0 1646452 26737964 340556 69374136    0    0     0     0 4280 10292  2  1 97  0
 1  0 1646452 26738732 340556 69374176    0    0     0     0 3670 7828  1  0 99  0
 1  0 1646452 26738688 340556 69374224    0    0     0   112 4013 8599  2  0 98  0
 1  0 1646452 26737716 340556 69374288    0    0     0     0 4258 9081  3  1 96  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1646452 26738956 340556 69374336    0    0     0    98 4053 9063  1  1 98  0
 1  0 1646452 26708340 340556 69374368    0    0     0     0 4201 9661  1  1 98  0
 0  0 1646452 26740900 340556 69374432    0    0     0     0 3934 8570  1  0 99  0
 0  0 1646452 26740244 340556 69374496    0    0     0   228 4033 9189  1  1 98  0
 2  0 1646452 26739292 340556 69374616    0    0     0     0 4206 9241  1  1 98  0
 1  0 1646452 26740712 340556 69374680    0    0     0   124 4521 10468  2  1 97  0
 2  0 1646452 26705612 340556 69375344    0    0     0     4 10439 22280  2  1 97  0
 1  0 1646452 26738688 340556 69375416    0    0     0     0 3843 8510  1  1 98  0
 3  0 1646452 26738784 340556 69375472    0    0     0  1112 4226 9232  1  1 98  0
 1  0 1646452 26739608 340556 69375592    0    0     0     0 4197 8961  1  1 98  0
 1  0 1646452 26737152 340556 69375712    0    0     0     0 4682 10189  4  1 95  0
 1  0 1646452 26736044 340556 69375720    0    0     0   152 3819 8723  1  1 98  0
 0  0 1646452 26737908 340556 69375760    0    0     0     0 4683 9497  2  1 98  0
 0  0 1646452 26736984 340556 69375800    0    0     0    58 3716 8257  1  1 98  0
 2  0 1646452 26738516 340556 69375824    0    0     0     0 3986 8938  1  0 98  0
 3  0 1646452 26702820 340556 69375888    0    0     0     0 4127 9535  1  1 98  0
 0  0 1646452 26735956 340556 69375984    0    0     0    60 4583 10765  1  1 97  0
 0  0 1646452 26736548 340556 69375976    0    0     0     0 6228 9769  2  1 98  0
 0  0 1646452 26738076 340556 69376016    0    0     0    56 3950 8574  1  1 98  0
 0  0 1646452 26737784 340556 69376048    0    0     0     0 4226 9336  2  1 98  0
 2  0 1646452 26738412 340556 69376112    0    0     0     0 4077 9275  1  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1646452 26737216 340556 69376208    0    0     0    52 4099 9280  1  1 98  0
 1  0 1646452 26737876 340556 69376288    0    0     0     0 4438 9721  1  1 98  0
 1  0 1646452 26738200 340556 69376352    0    0     0   138 4537 9430  3  1 96  0
 0  0 1646452 26737780 340556 69376480    0    0     0     0 4244 9372  2  1 98  0
 0  0 1646452 26737392 340556 69376512    0    0     0   696 3705 8139  1  0 99  0
 0  0 1646452 26736780 340556 69376560    0    0     0   100 4428 10284  2  1 97  0
 1  0 1646452 26737832 340556 69376600    0    0     0     0 4119 9221  2  1 98  0
 0  0 1646452 26737880 340556 69376656    0    0     0   148 3880 8464  2  1 98  0
 2  0 1646452 26704820 340556 69376688    0    0     0    60 4073 8821  1  1 98  0
 0  0 1646452 26737780 340556 69376752    0    0     0    16 3678 7974  1  0 99  0
